experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,narrow_375_395,Cell5,LSTM,True,371,41,17,5,0.01619816316069833,0.012147660453176964,0.8648786342701715
MultiHI-DeepSequence,narrow_375_395,Cell5,GRU,True,371,41,17,5,0.022375782204450242,0.018355167475792314,0.7421608029241987
MultiHI-DeepSequence,narrow_375_395,Cell5,TCN,True,371,41,17,5,0.008791225250140068,0.007219379843106164,0.9601992456610235
MultiHI-DeepSequence,narrow_375_395,Cell5,TransformerEncoder,True,371,41,17,5,0.013385216490978713,0.011331907654813985,0.9077336612899427
MultiHI-DeepSequence,narrow_375_395,Cell6,LSTM,True,370,42,17,5,0.024396244895089212,0.02124395031110057,0.7590161533870826
MultiHI-DeepSequence,narrow_375_395,Cell6,GRU,True,370,42,17,5,0.014878140801937487,0.013037488414593412,0.9103729106932549
MultiHI-DeepSequence,narrow_375_395,Cell6,TCN,True,370,42,17,5,0.013738140918879422,0.0131239086720107,0.9235816075564953
MultiHI-DeepSequence,narrow_375_395,Cell6,TransformerEncoder,True,370,42,17,5,0.01325058161813456,0.010935957205339691,0.9289094544725964
MultiHI-DeepSequence,narrow_375_395,Cell7,LSTM,True,339,73,17,5,0.018880485792678356,0.014553017030323473,0.870536680530447
MultiHI-DeepSequence,narrow_375_395,Cell7,GRU,True,339,73,17,5,0.039591056559869185,0.03296944956296733,0.4307348557648393
MultiHI-DeepSequence,narrow_375_395,Cell7,TCN,True,339,73,17,5,0.04275769533808922,0.03594746332939135,0.3360291911064902
MultiHI-DeepSequence,narrow_375_395,Cell7,TransformerEncoder,True,339,73,17,5,0.007759523981092738,0.005941253050829307,0.978132931335538
MultiHI-DeepSequence,narrow_375_395,Cell8,LSTM,True,339,72,17,5,0.009035513744268113,0.007018460306049927,0.9791403004621998
MultiHI-DeepSequence,narrow_375_395,Cell8,GRU,True,339,72,17,5,0.027504441677208426,0.024499750905171046,0.8067106107490077
MultiHI-DeepSequence,narrow_375_395,Cell8,TCN,True,339,72,17,5,0.035215148929275825,0.03296330167810288,0.6831443864385343
MultiHI-DeepSequence,narrow_375_395,Cell8,TransformerEncoder,True,339,72,17,5,0.006068370941666742,0.005102482461193674,0.9905909324381453
MultiHI-DeepSequence,very_narrow_38_39,Cell1,LSTM,True,338,74,17,5,0.06761393857000823,0.03165607355879787,-0.1648823924565277
MultiHI-DeepSequence,very_narrow_38_39,Cell1,GRU,True,338,74,17,5,0.04735641646180603,0.03170556804947931,0.4285644254222559
MultiHI-DeepSequence,very_narrow_38_39,Cell1,TCN,True,338,74,17,5,0.029385788261119226,0.013294410977691164,0.7799687827462435
MultiHI-DeepSequence,very_narrow_38_39,Cell1,TransformerEncoder,True,338,74,17,5,0.0460037836347037,0.020923224598293495,0.4607418520291432
MultiHI-DeepSequence,very_narrow_38_39,Cell2,LSTM,True,345,67,17,5,0.017977595356369603,0.014518856488439612,0.9309721254959201
MultiHI-DeepSequence,very_narrow_38_39,Cell2,GRU,True,345,67,17,5,0.028592708323567483,0.024246559199089284,0.8253888844779802
MultiHI-DeepSequence,very_narrow_38_39,Cell2,TCN,True,345,67,17,5,0.023392340712869945,0.021565279727053008,0.8831284885501052
MultiHI-DeepSequence,very_narrow_38_39,Cell2,TransformerEncoder,True,345,67,17,5,0.011005486331808612,0.009381795359228387,0.974130991925693
MultiHI-DeepSequence,very_narrow_38_39,Cell3,LSTM,True,340,72,17,5,0.01332252093108111,0.010866422578585033,0.9539614034697892
MultiHI-DeepSequence,very_narrow_38_39,Cell3,GRU,True,340,72,17,5,0.0170424389241481,0.012692259992311076,0.9246622326037295
MultiHI-DeepSequence,very_narrow_38_39,Cell3,TCN,True,340,72,17,5,0.027488380133485958,0.021792987714325578,0.80400384598871
MultiHI-DeepSequence,very_narrow_38_39,Cell3,TransformerEncoder,True,340,72,17,5,0.008093992368126395,0.007451425329809563,0.9830068130821266
