experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2,seq_len,n_experts
ApproxPaper-GPR-EKF,medium_37_40,Cell7,ApproxPaper-GPR-EKF,True,439.0,77.0,1,0.004295050946780543,0.00377088398089722,0.9942825632218579,,
ApproxPaper-GPR-EKF,medium_37_40,Cell8,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.0051459935365807865,0.0040022208584678046,0.9941466804595435,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell1,ApproxPaper-GPR-EKF,True,438.0,78.0,1,0.01043200868973577,0.0065886710287920815,0.9769802977002664,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell2,ApproxPaper-GPR-EKF,True,445.0,71.0,1,0.015743038110293928,0.011373488305519895,0.954990804971648,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell3,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.006868813446298808,0.004567177660065839,0.9895914432781857,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell4,ApproxPaper-GPR-EKF,True,469.0,47.0,1,0.003459016665456968,0.002993071932813618,0.9968245497502868,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell5,ApproxPaper-GPR-EKF,True,471.0,45.0,1,0.0035796278619722403,0.0031570665408946117,0.994925825915949,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell6,ApproxPaper-GPR-EKF,True,470.0,46.0,1,0.006377323377115448,0.0030432003171889654,0.9869605791449755,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell7,ApproxPaper-GPR-EKF,True,439.0,77.0,1,0.00581340596286103,0.005350168944604773,0.9895256752424282,,
ApproxPaper-GPR-EKF,narrow_375_395,Cell8,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.007098034639222398,0.005816083239048037,0.9888637239069539,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell1,ApproxPaper-GPR-EKF,True,438.0,78.0,1,0.011324775758737235,0.007973153441511945,0.972871670907215,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell2,ApproxPaper-GPR-EKF,True,445.0,71.0,1,0.01625144339369483,0.011916085551629893,0.9520368131821104,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell3,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.007390061799122636,0.005033039729415859,0.9879517710703639,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell4,ApproxPaper-GPR-EKF,True,469.0,47.0,1,0.003977438160332805,0.002932384591028793,0.9958013770401951,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell5,ApproxPaper-GPR-EKF,True,471.0,45.0,1,0.002887422081968398,0.0022745041139783572,0.9966985087520627,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell6,ApproxPaper-GPR-EKF,True,470.0,46.0,1,0.008735734554438655,0.00426431059852147,0.975533024800396,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell7,ApproxPaper-GPR-EKF,True,439.0,77.0,1,0.004883893989249401,0.004213418276916498,0.9926074003292858,,
ApproxPaper-GPR-EKF,very_narrow_38_39,Cell8,ApproxPaper-GPR-EKF,True,440.0,76.0,1,0.00644593346653676,0.005175182998851956,0.990815925506522,,
MultiHI-Tabular,full_36_42,Cell1,Ridge,False,441.0,78.0,17,0.006233653448772302,0.005970856923184178,0.9917804293675848,,
MultiHI-Tabular,full_36_42,Cell1,ElasticNet,False,441.0,78.0,17,0.0076732899215779145,0.005965853961784679,0.9875454787590142,,
MultiHI-Tabular,full_36_42,Cell1,SVR-RBF,False,441.0,78.0,17,0.011281828860235665,0.005424666794809823,0.9730770380529237,,
MultiHI-Tabular,full_36_42,Cell1,KNN,False,441.0,78.0,17,0.0065726602880449275,0.004316957823084282,0.9908621043417091,,
MultiHI-Tabular,full_36_42,Cell1,RandomForest,False,441.0,78.0,17,0.004899044286317883,0.0037372957396906415,0.994923240930301,,
MultiHI-Tabular,full_36_42,Cell1,ExtraTrees,False,441.0,78.0,17,0.0045838316737127445,0.0035731660263130095,0.9955555180685927,,
MultiHI-Tabular,full_36_42,Cell1,HistGB,False,441.0,78.0,17,0.005082781062761988,0.0037307017346368686,0.994535296177614,,
MultiHI-Tabular,full_36_42,Cell1,XGBoost,False,441.0,78.0,17,0.004319746065722424,0.0034012320549771545,0.9960528806534226,,
MultiHI-Tabular,full_36_42,Cell1,LightGBM,False,441.0,78.0,17,0.005293519248829509,0.0037986008072617926,0.9940727558616462,,
MultiHI-Tabular,full_36_42,Cell1,CatBoost,False,441.0,78.0,17,0.005483379634763772,0.004693320352453072,0.9936399511401058,,
MultiHI-Tabular,full_36_42,Cell2,Ridge,False,446.0,73.0,17,0.004696993542234344,0.003899903998730075,0.9962195349426352,,
MultiHI-Tabular,full_36_42,Cell2,ElasticNet,False,446.0,73.0,17,0.0046430938936900135,0.003519837787024196,0.9963058014424477,,
MultiHI-Tabular,full_36_42,Cell2,SVR-RBF,False,446.0,73.0,17,0.006154789792901746,0.0038619988642207975,0.9935086989383568,,
MultiHI-Tabular,full_36_42,Cell2,KNN,False,446.0,73.0,17,0.010740896416880516,0.006270504670358565,0.9802309245561175,,
MultiHI-Tabular,full_36_42,Cell2,RandomForest,False,446.0,73.0,17,0.009873136338000273,0.006147878155937669,0.9832961888796414,,
MultiHI-Tabular,full_36_42,Cell2,ExtraTrees,False,446.0,73.0,17,0.006659815816479881,0.004642142886332078,0.9923997174309537,,
MultiHI-Tabular,full_36_42,Cell2,HistGB,False,446.0,73.0,17,0.010788755443257362,0.004966604281901965,0.9800543589260242,,
MultiHI-Tabular,full_36_42,Cell2,XGBoost,False,446.0,73.0,17,0.010155704485124128,0.004771730386928546,0.9823263840982112,,
MultiHI-Tabular,full_36_42,Cell2,LightGBM,False,446.0,73.0,17,0.010855057035953863,0.005206063426556515,0.9798084563797431,,
MultiHI-Tabular,full_36_42,Cell2,CatBoost,False,446.0,73.0,17,0.01083775194405654,0.006204408375531938,0.9798727836324658,,
MultiHI-Tabular,full_36_42,Cell3,Ridge,False,443.0,76.0,17,0.0015058839546710436,0.0012162697340334094,0.9994997235235197,,
MultiHI-Tabular,full_36_42,Cell3,ElasticNet,False,443.0,76.0,17,0.0027810582363203057,0.0023556514332197095,0.9982937320346191,,
MultiHI-Tabular,full_36_42,Cell3,SVR-RBF,False,443.0,76.0,17,0.004506096395503332,0.0040563229183632156,0.9955205156185145,,
MultiHI-Tabular,full_36_42,Cell3,KNN,False,443.0,76.0,17,0.003123780374087102,0.002593970646253017,0.9978472774769583,,
