experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell7,MAW-GME,False,442,77,59,28.0,0.008232883728426272,0.007626583266752748,0.9789927745847948
StructuredWindowAblation,all_windows_available,All window-specific features are available.,Cell8,MAW-GME,False,443,76,59,28.0,0.005672437624908268,0.004900418812170867,0.9928878121530056
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,Ridge,False,441,78,17,,0.006233653448772302,0.005970856923184178,0.9917804293675848
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,Ridge,False,446,73,17,,0.004696993542234344,0.003899903998730075,0.9962195349426352
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,Ridge,False,443,76,17,,0.0015058839546710436,0.0012162697340334094,0.9994997235235197
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,Ridge,False,472,47,17,,0.005168307155964695,0.004103523753931869,0.9929108096698278
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,Ridge,False,473,46,17,,0.00351164584948351,0.0020009847344323196,0.9970067216956083
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,Ridge,False,473,46,17,,0.0031542328774943795,0.0018374960558803837,0.9968101597618088
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,Ridge,False,442,77,17,,0.005986195619730687,0.005364233341259363,0.9888937731153297
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,Ridge,False,443,76,17,,0.004575499901289809,0.0043104333857227,0.9953725593077186
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,ExtraTrees,False,441,78,17,,0.0045838316737127445,0.003573166026313007,0.9955555180685927
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,ExtraTrees,False,446,73,17,,0.006659815816479866,0.00464214288633207,0.9923997174309537
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,ExtraTrees,False,443,76,17,,0.002454035030298956,0.002003871089363637,0.9986714173207136
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,ExtraTrees,False,472,47,17,,0.001415338400430003,0.0011273017871755106,0.9994683564075533
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,ExtraTrees,False,473,46,17,,0.009949311318308864,0.0029191084645187244,0.9759723267642243
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,ExtraTrees,False,473,46,17,,0.004509135663217279,0.002117574838204432,0.9934811944388066
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,ExtraTrees,False,442,77,17,,0.008303445326643752,0.006967821940719584,0.9786311380940247
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,ExtraTrees,False,443,76,17,,0.005396852371616668,0.004631751421334156,0.9935620909457816
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,RandomForest,False,441,78,17,,0.004899044286317885,0.003737295739690646,0.9949232409303009
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,RandomForest,False,446,73,17,,0.009873136338000294,0.00614787815593769,0.9832961888796414
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,RandomForest,False,443,76,17,,0.002637818333001279,0.0020938583784674194,0.9984649701142166
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,RandomForest,False,472,47,17,,0.0021982928703312356,0.0017078972651167733,0.9987174594447786
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,RandomForest,False,473,46,17,,0.016405323848770532,0.004032546643800705,0.9346726122452438
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,RandomForest,False,473,46,17,,0.004409063290472653,0.002340394573493952,0.9937673306205652
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,RandomForest,False,442,77,17,,0.008366679225001877,0.007170066661127958,0.9783044347851015
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,RandomForest,False,443,76,17,,0.004976801483519086,0.003873715244021588,0.9945252486889457
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,HistGB,False,441,78,17,,0.005082781062761988,0.0037307017346368686,0.994535296177614
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,HistGB,False,446,73,17,,0.010788755443257362,0.004966604281901965,0.9800543589260242
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,HistGB,False,443,76,17,,0.003153122524665272,0.0023496488883977948,0.9978066458303616
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,HistGB,False,472,47,17,,0.0034339722119457786,0.0026513320751070783,0.9968703659582387
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,HistGB,False,473,46,17,,0.019170033553565755,0.004746694687334926,0.910798650958018
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,HistGB,False,473,46,17,,0.0048393574384068315,0.003424841675252682,0.9924914370709567
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,HistGB,False,442,77,17,,0.008602165750802271,0.007283012748876663,0.9770659716713198
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,HistGB,False,443,76,17,,0.005913654121712941,0.0041773783551372285,0.9922700692996084
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,XGBoost,False,441,78,17,,0.004319746065722424,0.0034012320549771545,0.9960528806534226
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,XGBoost,False,446,73,17,,0.010155704485124128,0.004771730386928546,0.9823263840982112
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,XGBoost,False,443,76,17,,0.0023228591356230428,0.0018873938079057397,0.9988096550925282
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,XGBoost,False,472,47,17,,0.002491390825008696,0.0019008505258646792,0.9983526581729317
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,XGBoost,False,473,46,17,,0.010222841344592977,0.0030970938592237572,0.9746330111565725
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,XGBoost,False,473,46,17,,0.003421118720700064,0.0025038630887187856,0.99624752580244
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,XGBoost,False,442,77,17,,0.008044061708097997,0.007185003050752471,0.9799453300638007
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,XGBoost,False,443,76,17,,0.006168716352127929,0.005005454089692904,0.9915888890272867
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,LightGBM,False,441,78,17,,0.005293519248829509,0.0037986008072617926,0.9940727558616462
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,LightGBM,False,446,73,17,,0.010855057035953863,0.005206063426556515,0.9798084563797431
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,LightGBM,False,443,76,17,,0.0031912322770660355,0.002328180403448532,0.9977533061191184
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,LightGBM,False,472,47,17,,0.00326688405309648,0.002487774664035784,0.9971675161261107
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,LightGBM,False,473,46,17,,0.01942052027387986,0.0047371126857863165,0.9084523085279254
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,LightGBM,False,473,46,17,,0.0051730905494626524,0.003714766233656676,0.9914201126773045
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,LightGBM,False,442,77,17,,0.008589829846952422,0.007579830065190583,0.9771317014240619
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,LightGBM,False,443,76,17,,0.007405273820902289,0.005258948178461086,0.9878787891935608
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,CatBoost,False,441,78,17,,0.005483379634763772,0.004693320352453072,0.9936399511401058
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,CatBoost,False,446,73,17,,0.01083775194405654,0.006204408375531938,0.9798727836324658
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,CatBoost,False,443,76,17,,0.0023642521161082917,0.0018622319651318815,0.9987668535883947
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,CatBoost,False,472,47,17,,0.005105451195956309,0.004175245176960802,0.993082195855926
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,CatBoost,False,473,46,17,,0.018368611401193006,0.005360836956330837,0.9181010508314666
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,CatBoost,False,473,46,17,,0.005621365909343458,0.004501771201987282,0.989868700948262
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,CatBoost,False,442,77,17,,0.010214393619852895,0.009901260166514993,0.9676637308458782
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,CatBoost,False,443,76,17,,0.008597817892676007,0.008065285928227974,0.9836604442246834
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell1,MAW-GME,False,441,78,17,7.0,0.004387464236045503,0.003708210296726828,0.9959281572159369
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell2,MAW-GME,False,446,73,17,7.0,0.007940854092430361,0.004377871553452669,0.9891946277139363
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell3,MAW-GME,False,443,76,17,7.0,0.0017099434649227837,0.001389275178392016,0.9993549541668333
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell4,MAW-GME,False,472,47,17,7.0,0.002317746966299187,0.0018752292659526624,0.998574287206606
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell5,MAW-GME,False,473,46,17,7.0,0.013229687565480586,0.0031067483225132864,0.9575160535921464
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell6,MAW-GME,False,473,46,17,7.0,0.003838982038086649,0.002289535368648809,0.9952748719313792
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell7,MAW-GME,False,442,77,17,7.0,0.007799160050343232,0.007239540049615245,0.9811478712445555
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell8,MAW-GME,False,443,76,17,7.0,0.0054408981132883505,0.004822913040991314,0.9934565777356676
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,Ridge,False,441,78,17,,0.008520753533062593,0.007728410240509651,0.9846425245701202
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,Ridge,False,446,73,17,,0.005841132228632241,0.004834613235461658,0.9941534539130488
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,Ridge,False,443,76,17,,0.003743256349466378,0.0031380614125688026,0.9969088063649457
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,Ridge,False,472,47,17,,0.004722231042225442,0.003575418903142842,0.9940817341806845
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell5,Ridge,False,473,46,17,,0.00498860855373084,0.0018958994497099823,0.9939593380737729
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell6,Ridge,False,473,46,17,,0.0036472265133189424,0.0024472158238593696,0.9957351192116096
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell7,Ridge,False,442,77,17,,0.006588121690986167,0.006259210278018489,0.9865479659880358
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell8,Ridge,False,443,76,17,,0.005162863106492747,0.004196596932833356,0.9941082409116213
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,ExtraTrees,False,441,78,17,,0.0046327167186680255,0.003678632810961383,0.9954602147224465
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,ExtraTrees,False,446,73,17,,0.009310561513797146,0.006011793544095368,0.985145533808677
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,ExtraTrees,False,443,76,17,,0.0031509085839067016,0.0026962928125645893,0.9978097248425916
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,ExtraTrees,False,472,47,17,,0.0024347452037140403,0.0019731400471902066,0.9984267163041322
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell5,ExtraTrees,False,473,46,17,,0.011080396848643457,0.0030279112589758593,0.970198624707533
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell6,ExtraTrees,False,473,46,17,,0.005671519346075221,0.002822852256116098,0.9896871129934665
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell7,ExtraTrees,False,442,77,17,,0.009593771131973605,0.008039598559915177,0.9714738317649841
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell8,ExtraTrees,False,443,76,17,,0.00501663362724362,0.004227124950933378,0.9944372629597136
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,RandomForest,False,441,78,17,,0.004783833556618629,0.003624077923797193,0.9951592133265703
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,RandomForest,False,446,73,17,,0.011322858192469918,0.006928339229979746,0.9780306383251219
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,RandomForest,False,443,76,17,,0.0027826010592648226,0.0021246758849676694,0.9982918383672892
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,RandomForest,False,472,47,17,,0.0024895903097868458,0.001994623307413295,0.9983550383633265
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell5,RandomForest,False,473,46,17,,0.01624204511364107,0.003933918947543365,0.9359665205228987
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell6,RandomForest,False,473,46,17,,0.006007337550725737,0.003035970222557959,0.9884296766857421
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell7,RandomForest,False,442,77,17,,0.010017717133466922,0.008389138736577565,0.9688970014116276
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell8,RandomForest,False,443,76,17,,0.005067800204309914,0.003602270560780876,0.9943232112904571
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell1,HistGB,False,441,78,17,,0.003785374209095225,0.002969106530709504,0.9969690312396613
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell2,HistGB,False,446,73,17,,0.01329572073744437,0.007483627370658835,0.9697079216558224
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell3,HistGB,False,443,76,17,,0.0040785848073546195,0.0029743000783366237,0.9963301689997414
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell4,HistGB,False,472,47,17,,0.0028923643350935394,0.002349794384792082,0.997779728932942
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell5,HistGB,False,473,46,17,,0.018578762929150283,0.004299515261858795,0.9162163526605503
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell6,HistGB,False,473,46,17,,0.006276490277747267,0.003322086868615814,0.9873696570045156
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell7,HistGB,False,442,77,17,,0.008261871866236012,0.007073439061213681,0.9788445804778816
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell8,HistGB,False,443,76,17,,0.0038935085123310634,0.003027727316044695,0.9966492192041355
