scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,Ridge,17,0.004550015606836081,0.04819452069325052
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,ExtraTrees,17,0.0053122294645882905,0.04127944621571693
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,RandomForest,17,0.0049204771704949,0.04456597399103177
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,HistGB,17,0.006627235821333506,0.033088602592284314
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,XGBoost,17,0.006327225211377343,0.0346575235371637
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,LightGBM,17,0.006796660672123308,0.03226378234903873
all_windows_available,All window-specific features are available.,False,Cell4,full_36_42,CatBoost,17,0.008380930961566805,0.02616487865373126
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,Ridge,17,0.00530300813133756,0.04135122638326176
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,ExtraTrees,17,0.005046348566803501,0.04345436424316219
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,RandomForest,17,0.005089120965407466,0.043089145230107845
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,HistGB,17,0.004271777833249767,0.05133361295630147
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,XGBoost,17,0.006262739432856785,0.03501438235945082
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,LightGBM,17,0.0048037749142207506,0.045648651465290034
all_windows_available,All window-specific features are available.,False,Cell4,medium_37_40,CatBoost,17,0.006698657463171959,0.03273580969186438
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,Ridge,17,0.003773901991042126,0.058105833889074775
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,ExtraTrees,17,0.006491759466530935,0.03377912669173436
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,RandomForest,17,0.005696600580564176,0.03849417125538599
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,HistGB,17,0.004935672488957838,0.04442877023675468
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,XGBoost,17,0.006776659536487132,0.03235900792901201
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,LightGBM,17,0.005477859968802203,0.04003130861308681
all_windows_available,All window-specific features are available.,False,Cell4,narrow_375_395,CatBoost,17,0.007872446575120253,0.02785487619665042
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,Ridge,17,0.006955129444707819,0.031528670993122454
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,ExtraTrees,17,0.00988213307953894,0.022190156679426688
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,RandomForest,17,0.009539187624291175,0.022987919099723614
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,HistGB,17,0.007792573807251171,0.028140384330474635
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,XGBoost,17,0.010236595360983512,0.02142177953829146
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,LightGBM,17,0.008523598526244864,0.02572693274078477
all_windows_available,All window-specific features are available.,False,Cell4,very_narrow_38_39,CatBoost,17,0.010904796844448958,0.020109141444821454
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,Ridge,17,0.004580729213968059,0.04884248814353314
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,ExtraTrees,17,0.005668141222353582,0.03947225329213271
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,RandomForest,17,0.005010547823398906,0.04465265318404849
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,HistGB,17,0.006017067930617459,0.03718328120837436
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,XGBoost,17,0.0080148093703688,0.02791512701758582
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,LightGBM,17,0.005854901435856715,0.038213165681149956
all_windows_available,All window-specific features are available.,False,Cell5,full_36_42,CatBoost,17,0.008745124633504691,0.02558390580857056
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,Ridge,17,0.005173882451657514,0.04324301342506189
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,ExtraTrees,17,0.005085464043324923,0.04399485649533917
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,RandomForest,17,0.004972636180877941,0.04499308670043984
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,HistGB,17,0.004635168547903351,0.04826884195174209
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,XGBoost,17,0.006929679901710316,0.03228639432936708
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,LightGBM,17,0.005170702639892774,0.04326960640216353
all_windows_available,All window-specific features are available.,False,Cell5,medium_37_40,CatBoost,17,0.007529061187207101,0.02971610909018996
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,Ridge,17,0.003581559963371439,0.06246833177488569
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,ExtraTrees,17,0.006593214543137776,0.03393403323108648
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,RandomForest,17,0.0055268319701122556,0.04048147241349619
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,HistGB,17,0.005111934517032241,0.043767044028236494
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,XGBoost,17,0.00624704649688855,0.03581441929623767
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,LightGBM,17,0.005539056755563883,0.04039212932794413
all_windows_available,All window-specific features are available.,False,Cell5,narrow_375_395,CatBoost,17,0.008574367525179545,0.02609340445878808
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,Ridge,17,0.0065386929233397445,0.03421698513756246
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,ExtraTrees,17,0.00985322780599862,0.022706718862569548
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,RandomForest,17,0.009119698576156517,0.024533097618032084
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,HistGB,17,0.009259553572713467,0.024162553557725393
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,XGBoost,17,0.010633633006669852,0.021040268194683305
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,LightGBM,17,0.009791877890412817,0.022848985124299642
all_windows_available,All window-specific features are available.,False,Cell5,very_narrow_38_39,CatBoost,17,0.011239678443960595,0.0199057742447542
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,Ridge,17,0.0044249713504358685,0.04834170443064209
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,ExtraTrees,17,0.005500671187851983,0.03888811826184142
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,RandomForest,17,0.004984539506862321,0.0429148391964768
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,HistGB,17,0.007136840652516646,0.029972764034013156
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,XGBoost,17,0.0068363201763795185,0.03129034657994831
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,LightGBM,17,0.006998988376739652,0.030563107610480776
all_windows_available,All window-specific features are available.,False,Cell6,full_36_42,CatBoost,17,0.00928812811499876,0.02303057274831478
all_windows_available,All window-specific features are available.,False,Cell6,medium_37_40,Ridge,17,0.005044138200208904,0.042407782654961465
