exclude_outliers,scenario,description,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,only_medium_window,Only medium partial-window features are available.,Ridge,0.0054017741272394185,0.001596745361096256,0.004259428284513019,0.0019626317750088508,0.9925171479017298,0.004424279534369432
False,only_medium_window,Only medium partial-window features are available.,XGBoost,0.006405193534912364,0.0034090522586489275,0.00398455615913143,0.0019709174298323737,0.9879520858546653,0.01036870370455798
False,only_narrow_window,Only narrow partial-window features are available.,CatBoost,0.009237188108414087,0.005779495199094774,0.005941218783159319,0.0024816341060116508,0.9725374250785931,0.034460158183019
False,only_narrow_window,Only narrow partial-window features are available.,ExtraTrees,0.00699672183034907,0.003653258734511924,0.00449149794259895,0.0022624949256094653,0.9848482581243716,0.01547013544951631
False,only_narrow_window,Only narrow partial-window features are available.,HistGB,0.00770850869009241,0.00504941437299918,0.004274998007939731,0.0019082186446168648,0.9804541476818552,0.025974276543061288
False,only_narrow_window,Only narrow partial-window features are available.,LightGBM,0.007672638759598176,0.005146262277602453,0.004344389509292775,0.0020707030706147564,0.9802488931940708,0.026282873260920596
False,only_narrow_window,Only narrow partial-window features are available.,MAW-GME,0.006312436335208109,0.003711756934113024,0.003894184621195828,0.0022126379127842682,0.9874219604114455,0.01334910326874089
False,only_narrow_window,Only narrow partial-window features are available.,RandomForest,0.007807676624580564,0.004873506748339292,0.004757072444951324,0.0024452399125014577,0.9805826388988103,0.02210974539070828
False,only_narrow_window,Only narrow partial-window features are available.,Ridge,0.004306791912777459,0.0018554448895377186,0.0035830438477939645,0.0018966541302864021,0.9946740959987277,0.004417238460353404
False,only_narrow_window,Only narrow partial-window features are available.,XGBoost,0.006770619420744772,0.0036177665688276166,0.004499211909789793,0.002125604945576012,0.9868148201108939,0.011398822710077616
False,only_very_narrow_window,Only very-narrow partial-window features are available.,CatBoost,0.00924800179933391,0.005631759256487888,0.006190093632911384,0.002933107881850101,0.9736834524568967,0.028964287111669578
False,only_very_narrow_window,Only very-narrow partial-window features are available.,ExtraTrees,0.007533492723045756,0.004176238320067014,0.0049500321194245935,0.0025901192557430627,0.9837133454305637,0.015114979445411118
False,only_very_narrow_window,Only very-narrow partial-window features are available.,HistGB,0.008255809267140498,0.005150675023357541,0.0047679384137172065,0.001992755712000715,0.9787944778735679,0.027107756105509223
False,only_very_narrow_window,Only very-narrow partial-window features are available.,LightGBM,0.008315927227005629,0.00506442709467674,0.00475289699281106,0.001677458203990617,0.9786462203422192,0.027582748433633356
False,only_very_narrow_window,Only very-narrow partial-window features are available.,MAW-GME,0.007351747087356608,0.0043695861194445445,0.004507290181522,0.0022139993790102857,0.9837287719601855,0.01817161585296941
False,only_very_narrow_window,Only very-narrow partial-window features are available.,RandomForest,0.008118183867685579,0.004691922131636429,0.0049848987589391,0.0022054093346024844,0.9801129084469484,0.022920143620508693
False,only_very_narrow_window,Only very-narrow partial-window features are available.,Ridge,0.0066636543504441995,0.0020785624441493704,0.004848129383626646,0.001866196045580849,0.9889360225627308,0.0052514765536388055
False,only_very_narrow_window,Only very-narrow partial-window features are available.,XGBoost,0.008060124040454848,0.004402855940108631,0.005061549968706466,0.002557468255261805,0.9811491022581922,0.017525806344477462
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,CatBoost,0.008735894262914927,0.005720512824231592,0.0056466541388610165,0.0026483260370290694,0.9749425827952859,0.03313869598251532
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,ExtraTrees,0.006674767261684698,0.003044502196229172,0.0046290933333157855,0.002095513768347526,0.9871519214646696,0.011766028658554773
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,HistGB,0.008067871579633491,0.004985163499198901,0.004876495250517112,0.0017594221176691334,0.9795008446842025,0.027416435630781638
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,LightGBM,0.008067057798519652,0.0050600711839785895,0.004807335195792241,0.0017049967077488366,0.979342936882659,0.028516327312586996
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,MAW-GME,0.00710683212405438,0.004322139820116039,0.004703103610977581,0.002722614879042972,0.9840816277823484,0.017689483498133308
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,RandomForest,0.0077747941997703025,0.004241693236982698,0.0051917297812091616,0.0021109699743565285,0.9819876545330016,0.019657636695782427
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,Ridge,0.005292669575611469,0.002368378393623538,0.004630933680807024,0.0024911562365580167,0.9921266989326025,0.006742928657495667
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,XGBoost,0.006858119802576361,0.0034820773916229785,0.004666241744526889,0.002505051631372039,0.9866210645149156,0.010745459520425738
True,all_windows_available,All window-specific features are available.,CatBoost,0.006412984402193046,0.0035451481347996026,0.005080310633951842,0.00270717983825873,0.9876398167524377,0.011452990117164401
True,all_windows_available,All window-specific features are available.,ExtraTrees,0.004866299700533013,0.0027811238686829593,0.0037063099498985206,0.002269996527611465,0.9926803194431221,0.006867752359596118
True,all_windows_available,All window-specific features are available.,HistGB,0.00517612209194336,0.0024847290928361313,0.003794038237203684,0.001872453999996336,0.9921929879576368,0.006270250990443039
True,all_windows_available,All window-specific features are available.,LightGBM,0.005264664599134648,0.0028498976034967614,0.003833296531158213,0.002102075116449639,0.9916767950740505,0.007186598024565409
True,all_windows_available,All window-specific features are available.,MAW-GME,0.0049529018513351725,0.003418566492172187,0.003791228830798089,0.0026938839902059157,0.9917438481062197,0.009050288133558772
True,all_windows_available,All window-specific features are available.,RandomForest,0.005340024257504402,0.002827901577019846,0.004076721717731924,0.0022106434057215453,0.9916653623937909,0.007247340601520591
True,all_windows_available,All window-specific features are available.,Ridge,0.00391253024440334,0.0019574999353141978,0.0033554441868881946,0.0019162547662512758,0.9952265026292394,0.004580284317654663
True,all_windows_available,All window-specific features are available.,XGBoost,0.00514603961237816,0.0029994131145948525,0.0038469630218870977,0.0021645923620304654,0.9918669129815627,0.007585289420316048
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",CatBoost,0.006624428281347647,0.002520804155791753,0.005790726648288424,0.0025736782074227875,0.9866280819283552,0.011214191895000223
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",ExtraTrees,0.0047848817691756775,0.0028273797981316533,0.0036318398196078946,0.0023810348287956313,0.9925491855658231,0.007655872370775744
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",HistGB,0.0052902985857051,0.0023137803429530376,0.004060481760744544,0.002081709699104132,0.9915331671774593,0.007518855805934228
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",LightGBM,0.005400668742824894,0.002369546726895293,0.004111006015392109,0.0021431411881572063,0.9912351525286248,0.007930615168141596
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",MAW-GME,0.004891919581336147,0.0030103816482256905,0.003959877557668275,0.0026641661324945153,0.9917630114699927,0.009866142060150112
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",RandomForest,0.005274808356225099,0.0027713215610937667,0.00403393641483265,0.0022899941876336843,0.9917264275952012,0.007166172737340238
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",Ridge,0.0039030970932474635,0.0018348353500189016,0.0033257576744256897,0.0018007937359513636,0.995294191541438,0.004422141668126024
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed from the all-window feature set.",XGBoost,0.004786976470535797,0.0022967641571302023,0.0037332641167900095,0.001982899516943018,0.9929610179876563,0.006587174438325482
True,only_full_window,Only full-window features are available.,CatBoost,0.0059055543404022085,0.002654869190728602,0.005122757108138981,0.002653786313387569,0.9893383328351381,0.009218323967689832
True,only_full_window,Only full-window features are available.,ExtraTrees,0.004523542565665348,0.0024897524366279083,0.003374238229643835,0.00203489728159823,0.9934663447516558,0.00661612925322903
True,only_full_window,Only full-window features are available.,HistGB,0.005150781893743254,0.002378228434767436,0.003829775177544183,0.001962121914314523,0.9919596182950629,0.007541417205259424
True,only_full_window,Only full-window features are available.,LightGBM,0.005256443491992903,0.0023059087331172585,0.003911143213994307,0.0018626075502436714,0.9916613440343238,0.007656486261929815
True,only_full_window,Only full-window features are available.,MAW-GME,0.004395315965637768,0.0024091625944134792,0.0034894732462877717,0.002153331409906676,0.9938271350914746,0.006402587802468344
True,only_full_window,Only full-window features are available.,RandomForest,0.005005180073790607,0.002763885085945285,0.00370005100736256,0.0021858860774442235,0.9923244456950963,0.007422449727687935
True,only_full_window,Only full-window features are available.,Ridge,0.004228872894663114,0.0022591374403020913,0.0036264120546542124,0.0021295051992537262,0.9943775360252486,0.005298135958971028
True,only_full_window,Only full-window features are available.,XGBoost,0.0047199795479254385,0.0021471245476415734,0.003649831408241376,0.0018224339253417176,0.993276532140297,0.00606288329465207
True,only_medium_window,Only medium partial-window features are available.,CatBoost,0.00705718249014321,0.004353044075439736,0.005413777946055442,0.002849616378972238,0.9844999395433636,0.016084318019163414
True,only_medium_window,Only medium partial-window features are available.,ExtraTrees,0.006022546778320294,0.004710367489932034,0.0043772711149970495,0.0031109331379600325,0.987527977789364,0.016409720548184858
True,only_medium_window,Only medium partial-window features are available.,HistGB,0.005923879631075201,0.003916267192320365,0.004157732092627682,0.002644847507030575,0.9885347472307767,0.012535531285567092
True,only_medium_window,Only medium partial-window features are available.,LightGBM,0.005846459229427982,0.0038631610492632965,0.004122780138855472,0.0025626517695096188,0.9888867589988719,0.012203590388918394
True,only_medium_window,Only medium partial-window features are available.,MAW-GME,0.005313745940473591,0.003966625820976388,0.003887386257962084,0.0028295588761391554,0.9902255780255071,0.011645088014082863
True,only_medium_window,Only medium partial-window features are available.,RandomForest,0.005764166329059644,0.0036541273538584114,0.004189557753309287,0.002798760648333976,0.9892525876597862,0.011559193493769212
True,only_medium_window,Only medium partial-window features are available.,Ridge,0.004604194468256348,0.0023000359984542687,0.00391696701333867,0.0023958066505741994,0.9934672663848318,0.006548200388587575
True,only_medium_window,Only medium partial-window features are available.,XGBoost,0.006028416849704988,0.003841510527879311,0.004214806858112457,0.0027144602329542424,0.9884723348769757,0.012084337603574673
