exclude_outliers,window,experiment,model,RMSE,MAE,R2
True,full_36_42,MultiHI-DeepSequence,TCN,0.025997322085999773,0.02102034041275212,0.7425865376926182
True,medium_37_40,MultiHI-Tabular,Ridge,0.004604194468256348,0.00391696701333867,0.9934672663848318
True,medium_37_40,MultiHI-Tabular,RandomForest,0.005764166329059643,0.004189557753309284,0.9892525876597862
True,medium_37_40,MultiHI-Tabular,LightGBM,0.005846459229427982,0.004122780138855472,0.9888867589988719
True,medium_37_40,MultiHI-Tabular,SVR-RBF,0.005921528842716584,0.0039562599882396535,0.9904068182381099
True,medium_37_40,MultiHI-Tabular,HistGB,0.005923879631075201,0.004157732092627682,0.9885347472307767
True,medium_37_40,MultiHI-Tabular,ExtraTrees,0.00602254677832029,0.004377271114997048,0.987527977789364
True,medium_37_40,MultiHI-Tabular,XGBoost,0.006028416849704988,0.004214806858112457,0.9884723348769757
True,medium_37_40,MultiHI-Tabular,ElasticNet,0.006188630199624257,0.005237862084580149,0.9872526922140248
True,medium_37_40,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.006652832172086887,0.004841077075507002,0.986813527330665
True,medium_37_40,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.006754431673324775,0.004664098658483847,0.9868432795220916
True,medium_37_40,MultiHI-Tabular,CatBoost,0.00705718249014321,0.005413777946055442,0.9844999395433636
True,medium_37_40,MultiHI-Tabular,KNN,0.00802580323445705,0.005931514252257999,0.9801868300178046
True,medium_37_40,MultiHI-DeepSequence,LSTM,0.01572573828371812,0.011664703133114932,0.915029399913329
True,medium_37_40,MultiHI-DeepSequence,TCN,0.018817263130343567,0.01523669150000313,0.8786109495573987
True,medium_37_40,MultiHI-DeepSequence,TransformerEncoder,0.024466029351689747,0.014128416732284502,0.609919496322988
True,medium_37_40,MultiHI-DeepSequence,GRU,0.031087012059637258,0.025681446389247388,0.6663739635944808
True,narrow_375_395,MultiHI-Tabular,Ridge,0.00430604264665234,0.003681821755107599,0.9943987712352541
True,narrow_375_395,MultiHI-Tabular,SVR-RBF,0.005785050979019463,0.004123679197334711,0.9912457055998796
True,narrow_375_395,MultiHI-Tabular,ElasticNet,0.0058910826425128335,0.004598298314306646,0.9890530500185711
True,narrow_375_395,MultiHI-Tabular,ExtraTrees,0.00596172440359992,0.004510975928304754,0.9887430100715524
True,narrow_375_395,MultiHI-Tabular,HistGB,0.006213413739165479,0.0045102531007520305,0.9875726106777275
True,narrow_375_395,MultiHI-Tabular,LightGBM,0.006431182606978803,0.00447401257692541,0.9862013241779476
True,narrow_375_395,MultiHI-Tabular,XGBoost,0.006497347318066037,0.0047182681429712835,0.9867874009058545
True,narrow_375_395,MultiHI-Tabular,RandomForest,0.006784731055938911,0.004888175125856328,0.9845508272572496
True,narrow_375_395,MultiHI-Tabular,KNN,0.007094799746501146,0.005360101257232139,0.9837263249187584
True,narrow_375_395,MultiHI-Tabular,CatBoost,0.007390362795475527,0.005888118314970541,0.9829897163186208
True,narrow_375_395,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.007421408594119574,0.0053611159961159775,0.9848328624888367
True,narrow_375_395,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.007491722936636719,0.005602872069717688,0.982477415881566
True,narrow_375_395,MultiHI-DeepSequence,TransformerEncoder,0.016996056278036704,0.011084168757172289,0.8698030403353906
True,narrow_375_395,MultiHI-DeepSequence,LSTM,0.020293197332995602,0.014840910820365406,0.8226267881926267
True,narrow_375_395,MultiHI-DeepSequence,TCN,0.02291437872253469,0.019165826012727046,0.7997793987147215
True,narrow_375_395,MultiHI-DeepSequence,GRU,0.035785002017865095,0.02811386312341965,0.5094950281931441
True,very_narrow_38_39,MultiHI-Tabular,Ridge,0.0057688633148472055,0.004622011023543425,0.9907389771532735
True,very_narrow_38_39,MultiHI-Tabular,HistGB,0.005823673529037218,0.0044944756488466955,0.9900618969064761
True,very_narrow_38_39,MultiHI-Tabular,ExtraTrees,0.0058416984409977194,0.0045936173103860965,0.9901891644067998
True,very_narrow_38_39,MultiHI-Tabular,LightGBM,0.005916050674601768,0.004544832844413663,0.9897213649052438
True,very_narrow_38_39,MultiHI-Tabular,XGBoost,0.006006499035601599,0.004616809813776393,0.9893286800895069
True,very_narrow_38_39,MultiHI-Tabular,SVR-RBF,0.006026226899998186,0.004692977502960688,0.9904777913051361
True,very_narrow_38_39,MultiHI-Tabular,RandomForest,0.0060665222161844804,0.004649364374128838,0.989433171410826
True,very_narrow_38_39,MultiHI-Tabular,ElasticNet,0.00651594000721057,0.004759260245583531,0.987141450175807
True,very_narrow_38_39,MultiHI-Tabular,CatBoost,0.006622078062666241,0.005443329126686106,0.9869339970880023
True,very_narrow_38_39,MultiHI-Tabular,KNN,0.007419176742553898,0.005725579711568221,0.9835798301826221
True,very_narrow_38_39,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.00773708790051009,0.0054727599127318465,0.9830395614485189
True,very_narrow_38_39,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.008170096110690408,0.005921337718341794,0.9770904053172023
True,very_narrow_38_39,MultiHI-DeepSequence,TransformerEncoder,0.013875017695540056,0.009371222829092078,0.9033580629794419
True,very_narrow_38_39,MultiHI-DeepSequence,TCN,0.023403124509054074,0.01868811871190762,0.8235464386143252
True,very_narrow_38_39,MultiHI-DeepSequence,LSTM,0.025946322177303055,0.018496484542490175,0.7218722348184881
True,very_narrow_38_39,MultiHI-DeepSequence,GRU,0.026032519377889838,0.02076277352842927,0.7602509430769708
