dataset,test_cell,availability_prob,seed,paper_pmax_window,paper_gpr_ekf_rmse,paper_gpr_ekf_mae,RMSE,MAE,R2,n_updates,n_prediction_only,mean_update_time_ms,median_update_time_ms,p95_update_time_ms
Dataset 2,Cell2,0.8,45,very_narrow_38_39,0.0045,0.0034,0.01616318091400952,0.010525740803501027,0.9552328991471054,60,13,1.7015698356410884,1.828370000112045,1.9641719999526683
Dataset 2,Cell2,0.8,46,very_narrow_38_39,0.0045,0.0034,0.017051558288234802,0.011262726855007846,0.9501765897816775,62,11,1.720828164377041,1.8543099999988044,1.940993999960483
Dataset 2,Cell2,0.8,47,very_narrow_38_39,0.0045,0.0034,0.017372157800965793,0.01093027955970185,0.9482854400682109,55,18,1.7563356164479444,1.8578999997771461,2.60042539985079
Dataset 2,Cell2,0.8,48,very_narrow_38_39,0.0045,0.0034,0.016445415385450864,0.011038267734626205,0.9536558418850983,61,12,1.6444041917404246,1.754739999796584,1.9743215998460073
Dataset 2,Cell2,0.8,49,very_narrow_38_39,0.0045,0.0034,0.01741075798486702,0.011604047200498166,0.9480553697139942,58,15,1.617272561672931,1.768150000316382,1.91205360015374
Dataset 2,Cell2,0.8,50,very_narrow_38_39,0.0045,0.0034,0.016554292959201227,0.010577303767658218,0.9530401635976061,58,15,1.5715405753226523,1.736668999910762,1.8097813998792844
Dataset 2,Cell2,0.8,51,very_narrow_38_39,0.0045,0.0034,0.01804346650562728,0.0118412639129654,0.9442114263914773,59,14,1.6070645753631017,1.765579000220896,1.851048000025912
Dataset 2,Cell2,0.6,42,very_narrow_38_39,0.0045,0.0034,0.015583458018292643,0.01025587428908573,0.9583866218720603,41,32,1.3974135479357968,1.7342699998152966,1.8608679999488231
Dataset 2,Cell2,0.6,43,very_narrow_38_39,0.0045,0.0034,0.017183807999621575,0.011628163676236022,0.949400744695602,52,21,1.525047027383788,1.758479999807605,1.8417919999592414
Dataset 2,Cell2,0.6,44,very_narrow_38_39,0.0045,0.0034,0.017496731890326276,0.011017901234133586,0.9475411004388548,41,32,1.387541863008764,1.7261499997403007,1.8242919999465812
Dataset 2,Cell2,0.6,45,very_narrow_38_39,0.0045,0.0034,0.0172157759061463,0.010866199448730957,0.949212304872375,41,32,1.4479457260602255,1.7559689999870898,1.9824933998279448
Dataset 2,Cell2,0.6,46,very_narrow_38_39,0.0045,0.0034,0.017830700251288613,0.011534752033854095,0.9455193725682894,45,28,1.486341808218914,1.775409999936528,1.94095799988645
Dataset 2,Cell2,0.6,47,very_narrow_38_39,0.0045,0.0034,0.017320874866808156,0.01160944494198123,0.9485903140989196,38,35,1.4038955068577732,1.7392500003552414,1.9252940000114902
Dataset 2,Cell2,0.6,48,very_narrow_38_39,0.0045,0.0034,0.016643496902703895,0.010319287270220872,0.952532707438936,46,27,1.637431712299998,1.8435300003147859,2.177705400026752
Dataset 2,Cell2,0.6,49,very_narrow_38_39,0.0045,0.0034,0.017418396263542968,0.011725919582191607,0.9480097824288002,44,29,1.5008687260476967,1.7988299996432033,1.968349999970087
Dataset 2,Cell2,0.6,50,very_narrow_38_39,0.0045,0.0034,0.016579135155161774,0.010655719138453023,0.9528991173108017,49,24,1.6158073972790539,1.85033099978682,2.0891800000754297
Dataset 2,Cell2,0.6,51,very_narrow_38_39,0.0045,0.0034,0.01759653392258832,0.011326765386655346,0.9469409384680628,46,27,1.559490630158619,1.8383099995844532,2.0584200000484993
Dataset 2,Cell2,0.4,42,very_narrow_38_39,0.0045,0.0034,0.016619000345181874,0.010547142091706126,0.9526723330900527,25,48,1.2573844931416902,0.935869999921124,1.9660500000099999
Dataset 2,Cell2,0.4,43,very_narrow_38_39,0.0045,0.0034,0.017868776547024453,0.012073708654427959,0.9452864444894793,30,43,1.316772054794194,0.9622800002944132,1.9589040000028033
Dataset 2,Cell2,0.4,44,very_narrow_38_39,0.0045,0.0034,0.01696068346453981,0.011036388579741596,0.9507062338839821,29,44,1.3069671917946835,0.974430000042048,1.9870980000632692
Dataset 2,Cell2,0.4,45,very_narrow_38_39,0.0045,0.0034,0.015573898513044516,0.009483751350583536,0.958437660773959,27,46,1.2214864520551414,0.9269400002267503,1.815401400108385
