dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 2,Cell2,Fast-MAW-GME-K5-latency-aware,full_36_42,Ridge,0.005134030997087597,0.005252810184607607,0.2317026111085949,2.1796875,17
Dataset 2,Cell2,Fast-MAW-GME-K5-latency-aware,narrow_375_395,Ridge,0.005323187516230718,0.005448158468172235,0.22339473523399084,2.234375,17
Dataset 2,Cell2,Fast-MAW-GME-K5-latency-aware,full_36_42,ElasticNet,0.00619268367186925,0.006339147283818381,0.191995891246352,2.2626953125,17
Dataset 2,Cell2,Fast-MAW-GME-K5-latency-aware,medium_37_40,Ridge,0.006640175455310872,0.006794937448940987,0.17911722814680509,2.20703125,17
Dataset 2,Cell2,Fast-MAW-GME-K5-latency-aware,very_narrow_38_39,ElasticNet,0.006837573912161201,0.00700324343301084,0.17378953426425717,2.3583984375,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,Ridge,0.00493963491340303,0.005055601310508019,0.045002567758152257,2.234375,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,Ridge,0.004941940269692274,0.005056275311755608,0.044996568929972364,2.1796875,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,ElasticNet,0.005638332448515834,0.005771685059360616,0.03941918071209086,2.2626953125,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,Ridge,0.0058297509583542855,0.005965624458498076,0.03813768546209215,2.20703125,17
Dataset 2,Cell3,MAW-GME-full-40experts,narrow_375_395,ElasticNet,0.0060988783651247215,0.006245150956201069,0.036430684838332124,2.3173828125,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,Ridge,0.00718573366173859,0.007356242087165058,0.03092818025594575,2.275390625,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,ElasticNet,0.007329564188438711,0.0075041396658663655,0.030318623786903247,2.2900390625,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,ExtraTrees,0.0063166702407652835,0.007602845417325001,0.029925005550094676,30762.7001953125,17
Dataset 2,Cell3,MAW-GME-full-40experts,very_narrow_38_39,ElasticNet,0.007728970995800969,0.007916238429833047,0.028740317156117388,2.3583984375,17
Dataset 2,Cell3,MAW-GME-full-40experts,medium_37_40,ExtraTrees,0.007141630158448958,0.00859576998133824,0.026468277579691744,30762.8681640625,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,SVR-RBF,0.008385366124372714,0.00890296347273328,0.025555000389119332,24.984375,17
Dataset 2,Cell3,MAW-GME-full-40experts,full_36_42,RandomForest,0.007741416173417773,0.009119963265026357,0.02494694709605166,8563.318359375,17
