window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
full_36_42,Ridge,0.004066547142028434,0.0033175731209579055,7,2.1796875,0.004160629387697766,17,Cell4,Dataset 2
narrow_375_395,Ridge,0.0041863026751280666,0.003527569799719243,7,2.234375,0.004284583306578848,17,Cell4,Dataset 2
medium_37_40,Ridge,0.005405960234942181,0.004333813165246205,7,2.20703125,0.005531956481438291,17,Cell4,Dataset 2
full_36_42,ElasticNet,0.005752600036269431,0.004522228397796706,7,2.2626953125,0.005888655198143443,17,Cell4,Dataset 2
narrow_375_395,ElasticNet,0.005949324896785111,0.004582227306261679,7,2.3173828125,0.006092010668776235,17,Cell4,Dataset 2
very_narrow_38_39,Ridge,0.006423400958057504,0.0045256090370776976,7,2.275390625,0.006575820186879333,17,Cell4,Dataset 2
medium_37_40,ElasticNet,0.007172811233375987,0.005356528297614291,7,2.2900390625,0.007343653170682466,17,Cell4,Dataset 2
full_36_42,ExtraTrees,0.0061112415593721865,0.003951109377489719,7,28139.82421875,0.007363432097292224,17,Cell4,Dataset 2
full_36_42,SVR-RBF,0.007391300325611825,0.0036680316318062787,7,19.657366071428573,0.007838928111818917,17,Cell4,Dataset 2
very_narrow_38_39,ElasticNet,0.007884636045276802,0.005069642396794969,7,2.3583984375,0.00807567513201655,17,Cell4,Dataset 2
medium_37_40,ExtraTrees,0.007058457570168484,0.004506775519154412,7,28135.4921875,0.008504710492369333,17,Cell4,Dataset 2
medium_37_40,XGBoost,0.007655514373414571,0.004825709288767163,7,658.3356584821429,0.008649388885794213,17,Cell4,Dataset 2
full_36_42,RandomForest,0.0073526892001783955,0.004239523568063759,7,7844.667271205357,0.008671425877495243,17,Cell4,Dataset 2
full_36_42,KNN,0.008523493899879053,0.0055888920643166135,7,59.064732142857146,0.00922164013341741,17,Cell4,Dataset 2
narrow_375_395,ExtraTrees,0.007666985556770465,0.004943684948864908,7,28134.977120535714,0.009237920898121837,17,Cell4,Dataset 2
very_narrow_38_39,XGBoost,0.008257642104612616,0.0053249877061517905,7,662.6029575892857,0.009330753086738966,17,Cell4,Dataset 2
full_36_42,XGBoost,0.008397719651625737,0.0049707949465681465,7,654.1337890625,0.00948687692920795,17,Cell4,Dataset 2
medium_37_40,RandomForest,0.008091991346613597,0.004640004987768696,7,7838.081473214285,0.009543189159912209,17,Cell4,Dataset 2
narrow_375_395,XGBoost,0.008481338110454728,0.00545883377558158,7,659.8327287946429,0.009582809618084276,17,Cell4,Dataset 2
medium_37_40,LightGBM,0.008587396157693787,0.0047895837838497326,7,880.4128069196429,0.009752109178177667,17,Cell4,Dataset 2
narrow_375_395,LightGBM,0.008682332867193035,0.00494082450287612,7,880.6787109375,0.009859974580815629,17,Cell4,Dataset 2
medium_37_40,HistGB,0.008738749007339449,0.004882512724643161,7,785.2804129464286,0.009904028589885917,17,Cell4,Dataset 2
very_narrow_38_39,ExtraTrees,0.00824708428331432,0.005383958537896102,7,28134.335100446428,0.00993687582017493,17,Cell4,Dataset 2
full_36_42,CatBoost,0.009010373082160409,0.0062687478165709765,7,183.23828125,0.009950376636581123,17,Cell4,Dataset 2
very_narrow_38_39,SVR-RBF,0.009342161225213958,0.005112923818519687,7,30.138671875,0.00998461240680369,17,Cell4,Dataset 2
narrow_375_395,RandomForest,0.008493812088223413,0.005274285876645602,7,7833.569056919643,0.010016973630278588,17,Cell4,Dataset 2
narrow_375_395,HistGB,0.008857366019342918,0.005049805292533716,7,785.3948102678571,0.010038488509571546,17,Cell4,Dataset 2
full_36_42,HistGB,0.008866902041412867,0.00496287173929532,7,786.8825334821429,0.01004963132836827,17,Cell4,Dataset 2
full_36_42,LightGBM,0.00889599447273163,0.00502620781082277,7,877.8268694196429,0.010102040085256796,17,Cell4,Dataset 2
very_narrow_38_39,LightGBM,0.009078600958270188,0.005115643729161426,7,879.2527901785714,0.010309697219966194,17,Cell4,Dataset 2
very_narrow_38_39,HistGB,0.009116770841602081,0.005164397531825489,7,786.0375279017857,0.010332633713220758,17,Cell4,Dataset 2
very_narrow_38_39,RandomForest,0.008960752562088822,0.005472732034293167,7,7844.879743303572,0.0105679072266425,17,Cell4,Dataset 2
