scenario,description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All window-specific features are available.,False,Cell12,very_narrow_365_38,CatBoost,19,0.015531045919999811,0.029523653155752862
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,Ridge,19,0.014857944289581837,0.22491110924725088
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,ExtraTrees,19,0.017362127736526536,0.19247163172680506
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,RandomForest,19,0.019241490669810086,0.17367247169333094
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,HistGB,19,0.0923983770233876,0.03616642116889936
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,XGBoost,19,0.019284101902293134,0.17328871546412392
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,LightGBM,19,0.09239837731617025,0.03616642105429887
only_full_window,Only full-window features are available.,False,Cell01,full_32_42,CatBoost,19,0.02046075965090894,0.16332322964529097
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,Ridge,19,0.007030786677332826,0.3096306264918023
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,ExtraTrees,19,0.008467874050365105,0.25708311155313734
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,RandomForest,19,0.01319651683804071,0.1649638580405643
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,HistGB,19,0.10040597085946533,0.02168147715210356
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,XGBoost,19,0.020523795722461366,0.10606950822753981
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,LightGBM,19,0.1004059706428207,0.02168147719888539
only_full_window,Only full-window features are available.,False,Cell03,full_32_42,CatBoost,19,0.018310622131504462,0.11888994133596735
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,Ridge,19,0.013002258335353763,0.21457643924436987
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,ExtraTrees,19,0.015122919153681006,0.18448677588500995
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,RandomForest,19,0.01588451706142182,0.17564139182185387
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,HistGB,19,0.0913015101498513,0.030557875015891234
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,XGBoost,19,0.013809913003218993,0.20202722642622314
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,LightGBM,19,0.09130151081106722,0.030557874794587655
only_full_window,Only full-window features are available.,False,Cell10,full_32_42,CatBoost,19,0.01720590340142426,0.16215241681206435
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,Ridge,19,0.016289169026861956,0.1964353190893329
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,ExtraTrees,19,0.01482920339180881,0.2157747680407883
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,RandomForest,19,0.019537087264550185,0.16377919588140863
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,HistGB,19,0.08694749850375766,0.03680117044074485
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,XGBoost,19,0.014646227727076657,0.2184704454120288
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,LightGBM,19,0.08694749874742248,0.036801170337611926
only_full_window,Only full-window features are available.,False,Cell11,full_32_42,CatBoost,19,0.02425207626882111,0.1319379307980846
