experiment,scenario,description,test_cell,model,exclude_outliers,n_train,n_test,n_features,n_experts,RMSE,MAE,R2
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,XGBoost,False,48,10,19,,0.025129452173259854,0.022417622013113092,0.7802290977971975
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,XGBoost,False,46,12,19,,0.010958258870624155,0.008227590973163335,0.9799245667662041
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,XGBoost,False,43,15,19,,0.012266835133771975,0.009179746789537516,0.9765283092333844
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,XGBoost,False,48,10,19,,0.014625216865603578,0.01148462474255777,0.9700853260836337
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,LightGBM,False,47,11,19,,0.031766204650877886,0.02520414103408365,0.8635304894637998
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,LightGBM,False,48,10,19,,0.03454454878847771,0.028716793673774277,0.58469878861468
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,LightGBM,False,46,12,19,,0.04338134622790428,0.037601041348606486,0.6853788855840371
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,LightGBM,False,43,15,19,,0.03878708385807894,0.0334569243841921,0.7653321597910488
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,LightGBM,False,48,10,19,,0.041747846088669174,0.03432355976543523,0.7562482225036427
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,CatBoost,False,47,11,19,,0.014861423953897902,0.01241194774446515,0.9701306465479625
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,CatBoost,False,48,10,19,,0.019040652108345275,0.017817088096830035,0.8738266060672313
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,CatBoost,False,46,12,19,,0.009114713450953563,0.0072867303973919535,0.9861110998884137
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,CatBoost,False,43,15,19,,0.008440140053313923,0.006655142357098306,0.988888348178634
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,CatBoost,False,48,10,19,,0.016356594585659242,0.014114846340686715,0.9625833050900233
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell01,MAW-GME,False,47,11,19,7.0,0.009583218164982577,0.008809932107161623,0.9875798247113101
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell03,MAW-GME,False,48,10,19,7.0,0.018451084639496518,0.017769346588566028,0.8815192072968849
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell10,MAW-GME,False,46,12,19,7.0,0.007245312617443037,0.006773045289205369,0.9912240109487352
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell11,MAW-GME,False,43,15,19,7.0,0.005344572604356868,0.004410450308057423,0.9955444093857171
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell12,MAW-GME,False,48,10,19,7.0,0.013276626235228926,0.012172295367527586,0.9753478329344546
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,Ridge,False,47,11,19,,0.013669156427511438,0.011309846183391975,0.9747309798331367
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,Ridge,False,48,10,19,,0.020864093517530873,0.018290118652814224,0.8485032938868887
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,Ridge,False,46,12,19,,0.008810439713240898,0.007323813077677904,0.987022919984287
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,Ridge,False,43,15,19,,0.009247104444656715,0.00758371110900428,0.9866619959816658
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,Ridge,False,48,10,19,,0.01721324165689165,0.015970536501805542,0.9585614094150734
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,ExtraTrees,False,47,11,19,,0.010192271116734772,0.00875107325545621,0.985950951560252
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,ExtraTrees,False,48,10,19,,0.01710921216794831,0.015611960462526265,0.8981258090054093
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,ExtraTrees,False,46,12,19,,0.007775292048891581,0.005867686496996242,0.9898931635941696
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,ExtraTrees,False,43,15,19,,0.0042132917992743655,0.0036073129644835183,0.9972310035810286
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,ExtraTrees,False,48,10,19,,0.013729917951552685,0.011658196261511855,0.9736357435238849
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,RandomForest,False,47,11,19,,0.012007519827338409,0.011125026719562866,0.980501033199853
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,RandomForest,False,48,10,19,,0.01754127561405002,0.015816467247711373,0.8929155294368201
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,RandomForest,False,46,12,19,,0.007633370362571492,0.005932351268149986,0.990258754612778
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,RandomForest,False,43,15,19,,0.005384697511571151,0.0046368521624896575,0.9954772566765557
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,RandomForest,False,48,10,19,,0.014964331906878032,0.01326073094573701,0.9686819791839862
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,HistGB,False,47,11,19,,0.03873914563679734,0.03372806040782227,0.7970425246875147
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,HistGB,False,48,10,19,,0.043878456258677714,0.03551928885206619,0.32995059092787105
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,HistGB,False,46,12,19,,0.045682912459416095,0.03626282838805538,0.6511093081528267
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,HistGB,False,43,15,19,,0.03967213398904854,0.03440479547987671,0.7545005959674362
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,HistGB,False,48,10,19,,0.04311041177917051,0.03680785168853802,0.7400774337168672
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,XGBoost,False,47,11,19,,0.01282839045124698,0.010173160569191849,0.9777438871539431
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,XGBoost,False,48,10,19,,0.02324069662748816,0.021331911487600396,0.8120239876644737
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,XGBoost,False,46,12,19,,0.010244032750691818,0.007509754680272651,0.9824561974290436
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,XGBoost,False,43,15,19,,0.014103163021303981,0.011708148530141438,0.9689749585714343
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,XGBoost,False,48,10,19,,0.013478004552815328,0.01010838542791016,0.9745943189542716
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,LightGBM,False,47,11,19,,0.04320424316242106,0.03792255707872938,0.7475602285093967
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,LightGBM,False,48,10,19,,0.0463746431217921,0.03744411446243033,0.2515456616788875
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell10,LightGBM,False,46,12,19,,0.04330147708008237,0.03565854088445114,0.686536313395335
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell11,LightGBM,False,43,15,19,,0.03821374947998991,0.03348089893418216,0.7722184088643516
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell12,LightGBM,False,48,10,19,,0.04062345409255517,0.03479428986315507,0.7692013103405905
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell01,CatBoost,False,47,11,19,,0.018256642966087807,0.015472436715338843,0.9549238495476542
StructuredWindowAblation,only_medium_window,Only medium partial-window features are available.,Cell03,CatBoost,False,48,10,19,,0.021011104858581233,0.019280047238131724,0.8463608381124804
