exclude_outliers,scenario,description,model,RMSE,MAE,R2
True,only_full_window,Only full-window features are available.,Ridge,0.013174895010901572,0.01212042069622393,0.9391172667216278
True,only_full_window,Only full-window features are available.,XGBoost,0.013659789165732206,0.011605880076049537,0.9287927785019454
True,only_full_window,Only full-window features are available.,CatBoost,0.018439905908097506,0.014880434066505438,0.890952649062249
True,only_full_window,Only full-window features are available.,HistGB,0.04811056412801542,0.03909369556011834,0.21349638296922135
True,only_full_window,Only full-window features are available.,LightGBM,0.0496084593677143,0.04117392231440235,0.1854513071005923
True,only_medium_window,Only medium partial-window features are available.,ExtraTrees,0.010978931641984322,0.009532189238488389,0.9581719907556258
True,only_medium_window,Only medium partial-window features are available.,RandomForest,0.013146233349944428,0.01121616349833868,0.9452586238438764
True,only_medium_window,Only medium partial-window features are available.,XGBoost,0.014521611050656389,0.012041940784201432,0.9276624306593091
True,only_medium_window,Only medium partial-window features are available.,MAW-GME,0.014980314586435211,0.012979183044582874,0.925623636483391
True,only_medium_window,Only medium partial-window features are available.,Ridge,0.017472973701735804,0.014929050996941001,0.9074247295573155
True,only_medium_window,Only medium partial-window features are available.,CatBoost,0.01971377949545273,0.015643355587488212,0.8844085166999
True,only_medium_window,Only medium partial-window features are available.,HistGB,0.05303265756225445,0.04398234530053267,0.10627240782597891
True,only_medium_window,Only medium partial-window features are available.,LightGBM,0.053132621602924666,0.04343764726786312,0.11561055026664935
True,only_narrow_window,Only narrow partial-window features are available.,ExtraTrees,0.010702606301223888,0.009952030007926485,0.9544639445560404
True,only_narrow_window,Only narrow partial-window features are available.,RandomForest,0.011505438928505928,0.010441893277890569,0.9534920129228182
True,only_narrow_window,Only narrow partial-window features are available.,MAW-GME,0.01166359848110064,0.010504127134513118,0.9505278766672414
True,only_narrow_window,Only narrow partial-window features are available.,Ridge,0.011951040184325376,0.010838847066377477,0.9502458834037146
True,only_narrow_window,Only narrow partial-window features are available.,XGBoost,0.013441075607898815,0.011619223982260944,0.935500401856258
True,only_narrow_window,Only narrow partial-window features are available.,CatBoost,0.01622019867332708,0.013367114931239285,0.907733366491415
True,only_narrow_window,Only narrow partial-window features are available.,LightGBM,0.04814763790808137,0.03909633195372094,0.23240315409081935
True,only_narrow_window,Only narrow partial-window features are available.,HistGB,0.048716693186463524,0.03973811633416367,0.22036596738041095
True,only_very_narrow_window,Only very-narrow partial-window features are available.,ExtraTrees,0.01338469022464896,0.010976671539741979,0.9421897640921676
True,only_very_narrow_window,Only very-narrow partial-window features are available.,RandomForest,0.015809355347440546,0.012881872424169924,0.9181370111657277
True,only_very_narrow_window,Only very-narrow partial-window features are available.,MAW-GME,0.016823566437781382,0.013934099087887808,0.9085881435237202
True,only_very_narrow_window,Only very-narrow partial-window features are available.,XGBoost,0.017933819639436077,0.014780503183239832,0.8949798183360436
True,only_very_narrow_window,Only very-narrow partial-window features are available.,CatBoost,0.0199922275176559,0.01620513316947355,0.8746173223003957
True,only_very_narrow_window,Only very-narrow partial-window features are available.,Ridge,0.023136184273566607,0.021104456268676575,0.8401488781831411
True,only_very_narrow_window,Only very-narrow partial-window features are available.,HistGB,0.04860909414650226,0.039254158402185615,0.2258605229648624
True,only_very_narrow_window,Only very-narrow partial-window features are available.,LightGBM,0.04956316361168928,0.04088575216520204,0.2086778865403472
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,ExtraTrees,0.011691011978971745,0.01070800268376592,0.9483325681580999
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,XGBoost,0.011813056239289061,0.010189122250251596,0.941967563003842
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,RandomForest,0.012640344639329027,0.011358217664793249,0.9391705194012007
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,MAW-GME,0.013264393053078749,0.011960885353495487,0.9385088434723681
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,CatBoost,0.016307858603946342,0.013870377179599432,0.904570674712771
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,Ridge,0.016872190853371393,0.014975951465491483,0.9146285377489279
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,HistGB,0.051551905284021426,0.04334641971170328,0.15222915012387525
True,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,LightGBM,0.05230368035046381,0.04276796060421911,0.13113303055088124
