scenario,description,exclude_outliers,test_cell,window,model_name,n_features,oof_rmse,mean_inner_rmse,meta_coef,meta_abs_weight
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,LightGBM,19,0.09484247747860428,0.09315613669860909,-0.0004945230093031148,0.003267635550963252
all_windows_available,All window-specific features are available.,False,Cell10,full_32_42,CatBoost,19,0.017878348618191098,0.017942825618942657,0.009668864866113219,0.0638884864396786
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,Ridge,19,0.022795520685298228,0.021839390498090562,0.003406737893365919,0.02251053569552485
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,ExtraTrees,19,0.013315985686656215,0.013136031302444848,0.006823404431999076,0.045086676415766046
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,RandomForest,19,0.013943413066570043,0.013862693528203577,0.008833490464763383,0.0583686237824039
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,HistGB,19,0.09484247790169215,0.09315613686915916,-0.0004945276578248492,0.003267666266773423
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,XGBoost,19,0.019881621921272498,0.017231921153948466,0.004469096191266151,0.02953022876697875
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,LightGBM,19,0.09484247747860428,0.09315613669860909,-0.000494523009303026,0.0032676355509626653
all_windows_available,All window-specific features are available.,False,Cell10,medium_35_40,CatBoost,19,0.01785172512758013,0.01782485836709279,0.002014510777128503,0.013311184534001912
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,Ridge,19,0.02228116027795313,0.02029313939760342,0.01480963645114481,0.0978569119216456
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,ExtraTrees,19,0.014667208705222779,0.014532708207624376,0.005012375572919953,0.03312002941973094
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,RandomForest,19,0.014606110081282543,0.01461419798573262,0.008651888389570624,0.05716866061412828
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,HistGB,19,0.09484247790169215,0.09315613686915916,-0.000494527657824909,0.003267666266773818
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,XGBoost,19,0.023358815923539025,0.020660811312721496,-0.003383994044835034,0.02236025227771185
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,LightGBM,19,0.09484247747860428,0.09315613669860909,-0.0004945230093029343,0.0032676355509620595
all_windows_available,All window-specific features are available.,False,Cell10,narrow_36_385,CatBoost,19,0.0188084577726954,0.018869153784564066,0.0013934639893655283,0.009207523987719938
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,Ridge,19,0.03952758640901177,0.03714911156952417,-0.021859939261258086,0.14444285367559415
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,ExtraTrees,19,0.01573133623800157,0.015778074494866443,0.0056549644224409105,0.03736603239602568
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,RandomForest,19,0.0164746355296239,0.016506162886031555,0.004836667783232407,0.03195901363408874
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,HistGB,19,0.09484247790169215,0.09315613686915916,-0.0004945276578249087,0.003267666266773816
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,XGBoost,19,0.024373633608749737,0.022743867007770573,-0.008878056287031725,0.05866309919095397
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,LightGBM,19,0.09484247747860428,0.09315613669860909,-0.0004945230093029338,0.0032676355509620564
all_windows_available,All window-specific features are available.,False,Cell10,very_narrow_365_38,CatBoost,19,0.020056375634650143,0.020231204374017913,-0.000555096350327272,0.003667883059871045
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,Ridge,19,0.014265449716298308,0.014181112224094686,0.008701980980893345,0.06012957894410556
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,ExtraTrees,19,0.012524010731938354,0.012397539132600815,0.011830496461909309,0.0817472219850001
all_windows_available,All window-specific features are available.,False,Cell11,full_32_42,RandomForest,19,0.013961829424557638,0.013799190644868488,0.006307717167489551,0.04358552129824535
