exclude_outliers,window,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,narrow_36_385,XGBoost,0.013332332997459917,0.007019284587913618,0.011596976052579016,0.00714410203718104,0.9467622574996163,0.07375136198783727
False,very_narrow_365_38,CatBoost,0.015616349290284284,0.005438450925812661,0.012622558436462605,0.004985395943563442,0.9518861010122427,0.03130629469534618
False,very_narrow_365_38,ElasticNet,0.021454298608996156,0.0061783344042256865,0.019890756183002827,0.006213623415244574,0.8963610642372817,0.10152986481421175
False,very_narrow_365_38,ExtraTrees,0.012313791901511249,0.004682716501388753,0.009955355817785424,0.0045464619166480985,0.9672172893229314,0.027663245492017943
False,very_narrow_365_38,HistGB,0.04007007448935433,0.0072984237920203695,0.032907461664768774,0.007592309579560497,0.7119731426998509,0.0914694540819345
False,very_narrow_365_38,LightGBM,0.04043277378513962,0.005844115717000924,0.03364337948867308,0.006712609159353868,0.7094432801330732,0.06871832217409309
False,very_narrow_365_38,RandomForest,0.013723485336810842,0.005382131865696277,0.011058160310907821,0.004707581522154774,0.9618739874366773,0.028131631786848275
False,very_narrow_365_38,Ridge,0.02063721060892701,0.006238786032150393,0.018778287905874227,0.00592533452874474,0.9075421649854934,0.08002734675183708
False,very_narrow_365_38,SVR,0.03185252382815943,0.013936502867052572,0.027919752511289815,0.014925267772360673,0.7170741432404019,0.39215585375041906
False,very_narrow_365_38,XGBoost,0.017123915545765554,0.006119347561699559,0.013776756988024597,0.005478433975795864,0.9315384654692508,0.06520458776135667
True,full_32_42,CatBoost,0.018439905908097506,0.0073702204932113375,0.014880434066505438,0.006110743710172759,0.890952649062249,0.08098196706013565
True,full_32_42,ElasticNet,0.012672378470048162,0.0058554458168343275,0.011995688302611291,0.005836478167730851,0.9439032784863854,0.04479939739476008
True,full_32_42,ExtraTrees,0.010706548487566426,0.0052880316981563395,0.009615759619620894,0.005591987024996341,0.9576310721128618,0.04389206864971785
True,full_32_42,HistGB,0.04811056412801542,0.030492933343058977,0.03909369556011834,0.026595401068443585,0.21349638296922135,0.8773099468852136
True,full_32_42,LightGBM,0.0496084593677143,0.029546269415614026,0.04117392231440235,0.02548954992670748,0.1854513071005923,0.8633007542529874
True,full_32_42,RandomForest,0.012545427972846666,0.004506553039308244,0.010934203312639935,0.0042701804596254125,0.9488821177521114,0.04003013033407134
True,full_32_42,Ridge,0.013174895010901572,0.006123595947673317,0.01212042069622393,0.00607890064356245,0.9391172667216278,0.049190208875535976
True,full_32_42,SVR,0.03912460065494595,0.01137114804470759,0.028923591941911964,0.009788512430816278,0.5650679438016977,0.2258705892306593
True,full_32_42,XGBoost,0.013659789165732206,0.007279449815388037,0.011605880076049537,0.006916462844190026,0.9287927785019454,0.0890436384920183
True,medium_35_40,CatBoost,0.01971377949545273,0.005047204886431846,0.015643355587488212,0.004287276268857556,0.8844085166999,0.0640584004365584
True,medium_35_40,ElasticNet,0.018564927747489246,0.005788723281311788,0.016253453031523687,0.005208177558793409,0.8955927685676859,0.05928570523193468
