exclude_outliers,scenario,description,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,only_narrow_window,Only narrow partial-window features are available.,CatBoost,0.013502564321200164,0.006115668404779492,0.011339338242009441,0.005676657369284616,0.9526797771133213,0.05699946548968991
False,only_narrow_window,Only narrow partial-window features are available.,ExtraTrees,0.01057083816725804,0.005866857008140291,0.009657525919167048,0.005997069412168304,0.9650685513733259,0.05271534676302455
False,only_narrow_window,Only narrow partial-window features are available.,HistGB,0.040553430935356724,0.00855541189288943,0.03278892268294148,0.006966810713309265,0.7034433940401744,0.11083523823766704
False,only_narrow_window,Only narrow partial-window features are available.,LightGBM,0.039699412173791616,0.006983325372652729,0.03341356830078647,0.007648551336707923,0.7161981747801598,0.09206458435541696
False,only_narrow_window,Only narrow partial-window features are available.,MAW-GME,0.011139731865951985,0.005079828304917635,0.01008211259602924,0.00537196826246265,0.9650283865949125,0.04857573925816736
False,only_narrow_window,Only narrow partial-window features are available.,RandomForest,0.01080861669176062,0.006119108511354332,0.00962097795472681,0.005841717375309631,0.966076819866671,0.044959077538464086
False,only_narrow_window,Only narrow partial-window features are available.,Ridge,0.010526584598761235,0.00486028322005476,0.009520206795695717,0.004956001633989281,0.9683475245567064,0.044795827940123996
False,only_narrow_window,Only narrow partial-window features are available.,XGBoost,0.013332332997459917,0.007019284587913618,0.011596976052579016,0.00714410203718104,0.9467622574996163,0.07375136198783727
False,only_very_narrow_window,Only very-narrow partial-window features are available.,CatBoost,0.015616349290284284,0.005438450925812661,0.012622558436462605,0.004985395943563442,0.9518861010122427,0.03130629469534618
False,only_very_narrow_window,Only very-narrow partial-window features are available.,ExtraTrees,0.012313791901511256,0.004682716501388748,0.009955355817785427,0.004546461916648092,0.9672172893229314,0.02766324549201788
False,only_very_narrow_window,Only very-narrow partial-window features are available.,HistGB,0.04007007448935433,0.0072984237920203695,0.032907461664768774,0.007592309579560497,0.7119731426998509,0.0914694540819345
False,only_very_narrow_window,Only very-narrow partial-window features are available.,LightGBM,0.04043277378513962,0.005844115717000924,0.03364337948867308,0.006712609159353868,0.7094432801330732,0.06871832217409309
False,only_very_narrow_window,Only very-narrow partial-window features are available.,MAW-GME,0.014933702131777943,0.004863077863608434,0.012570005592308994,0.004395249259230318,0.9517089804650407,0.04163813594540635
False,only_very_narrow_window,Only very-narrow partial-window features are available.,RandomForest,0.013723485336810864,0.005382131865696302,0.011058160310907844,0.004707581522154789,0.9618739874366771,0.028131631786848365
False,only_very_narrow_window,Only very-narrow partial-window features are available.,Ridge,0.02063721060892701,0.006238786032150393,0.018778287905874227,0.00592533452874474,0.9075421649854934,0.08002734675183708
False,only_very_narrow_window,Only very-narrow partial-window features are available.,XGBoost,0.017123915545765554,0.006119347561699559,0.013776756988024597,0.005478433975795864,0.9315384654692508,0.06520458776135667
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,CatBoost,0.012646330694843005,0.005353629620473723,0.011319556960908798,0.005505794841400879,0.9567920401436745,0.05696725993284235
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,ExtraTrees,0.011341182631353813,0.0065806219329085395,0.010111289182834063,0.006739218299491667,0.9588172573461294,0.062672047026493
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,HistGB,0.03557692759233246,0.007314915283408293,0.029756277490314047,0.004584444577054602,0.7294063158127579,0.229861710416594
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,LightGBM,0.036900566537785326,0.006589644875038163,0.030460276026065942,0.004729465230501161,0.7129977293038929,0.23139523587164343
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,MAW-GME,0.011033793538240463,0.00618587277036921,0.010245706743322387,0.006043416662592152,0.9620032567978225,0.05588171725472772
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,RandomForest,0.011542139680624227,0.006889350784210358,0.010523032270498698,0.007075557230865266,0.9561941295843,0.06822146657966394
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,Ridge,0.01571914456447191,0.003872381063274425,0.014487256390282236,0.004033929257359672,0.9447520543785061,0.052500017267778226
False,pmax_features_missing,All pmax-related features are removed from the all-window feature set.,XGBoost,0.011887523165727543,0.007208553717727694,0.010043258619256847,0.007681385551229637,0.9496325220169739,0.08292951645567585
True,all_windows_available,All window-specific features are available.,CatBoost,0.017693689138291804,0.005423970773994237,0.014788310136694049,0.005187133303070862,0.9023651302786477,0.07044868288290974
True,all_windows_available,All window-specific features are available.,ExtraTrees,0.010837133044869541,0.00603708493005605,0.009912076133491222,0.0063715582114827595,0.954108796113951,0.052314038524922
True,all_windows_available,All window-specific features are available.,HistGB,0.05160037229389245,0.027511503228211213,0.043389756678435164,0.02382452358188495,0.1461015626892631,0.847255485730794
True,all_windows_available,All window-specific features are available.,LightGBM,0.052069205151585106,0.027455432198997633,0.04268439808035519,0.02410770422057125,0.13177208934011492,0.8459344484471552
True,all_windows_available,All window-specific features are available.,MAW-GME,0.013467943118615173,0.00539304663040445,0.011812980891576745,0.0050004935335838325,0.9385508356603985,0.05664442136062625
True,all_windows_available,All window-specific features are available.,RandomForest,0.012279646348823251,0.005281684550856223,0.010884633557500112,0.005576533681749533,0.9470952516688254,0.05307628758112712
True,all_windows_available,All window-specific features are available.,Ridge,0.014628992656614784,0.004148823112704527,0.01315982236437149,0.004371273584636572,0.9334562048500248,0.045016289606169935
True,all_windows_available,All window-specific features are available.,XGBoost,0.013385368924497123,0.007302112804715019,0.011528498304831606,0.006896788949154036,0.9306740217485483,0.08715509628582602
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",CatBoost,0.019913742172562206,0.007044022623337193,0.015497532168166406,0.00539692694638973,0.8818743397145443,0.07180250007758186
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",ExtraTrees,0.010255244359392362,0.005629398883495465,0.009435869619996455,0.0059284239178289105,0.9591721567961915,0.04684575336258722
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",HistGB,0.05007128303680828,0.02783795009952698,0.04147960076409459,0.024201873462031485,0.1971821208631329,0.8538183971680875
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",LightGBM,0.05106075585853013,0.02741045539028926,0.04292078785045586,0.02349725134974421,0.17503560277328073,0.8435557999674379
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",MAW-GME,0.012674708226168941,0.004888535940960557,0.010880779369699469,0.004305934332665323,0.9460118288770598,0.049172585570689806
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",RandomForest,0.011900228187238208,0.004335063968707971,0.010383664533847375,0.0043960548485494355,0.9532628288178021,0.04030026565864125
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",Ridge,0.012748490808026768,0.006359733382075696,0.011948994803261236,0.00619587378629709,0.941341426966736,0.049331859183282416
True,ica_shape_features_missing,"ICA-shape/DVA features such as ic_std, peak_width, and DVA are removed.",XGBoost,0.01330191129993501,0.007229465327425333,0.011476075599164744,0.007039723520472748,0.9313666796531397,0.09102277405265277
True,only_full_window,Only full-window features are available.,CatBoost,0.018439905908097506,0.0073702204932113375,0.014880434066505438,0.006110743710172759,0.890952649062249,0.08098196706013565
True,only_full_window,Only full-window features are available.,ExtraTrees,0.010706548487566433,0.005288031698156339,0.009615759619620898,0.005591987024996342,0.9576310721128618,0.04389206864971794
True,only_full_window,Only full-window features are available.,HistGB,0.04811056412801542,0.030492933343058977,0.03909369556011834,0.026595401068443585,0.21349638296922135,0.8773099468852136
True,only_full_window,Only full-window features are available.,LightGBM,0.0496084593677143,0.029546269415614026,0.04117392231440235,0.02548954992670748,0.1854513071005923,0.8633007542529874
True,only_full_window,Only full-window features are available.,MAW-GME,0.013040378072306371,0.0056509392597143505,0.011569255463624483,0.005128598546747142,0.9415180033960262,0.056338927945272864
True,only_full_window,Only full-window features are available.,RandomForest,0.012545427972846693,0.004506553039308272,0.010934203312639963,0.004270180459625434,0.9488821177521112,0.04003013033407161
True,only_full_window,Only full-window features are available.,Ridge,0.013174895010901572,0.006123595947673317,0.01212042069622393,0.00607890064356245,0.9391172667216278,0.049190208875535976
True,only_full_window,Only full-window features are available.,XGBoost,0.013659789165732206,0.007279449815388037,0.011605880076049537,0.006916462844190026,0.9287927785019454,0.0890436384920183
True,only_medium_window,Only medium partial-window features are available.,CatBoost,0.01971377949545273,0.005047204886431846,0.015643355587488212,0.004287276268857556,0.8844085166999,0.0640584004365584
True,only_medium_window,Only medium partial-window features are available.,ExtraTrees,0.010978931641984322,0.004561575726797042,0.009532189238488389,0.004565445607602519,0.9581719907556258,0.03895343339561544
True,only_medium_window,Only medium partial-window features are available.,HistGB,0.05303265756225445,0.027102099345342533,0.04398234530053267,0.02343557945210987,0.10627240782597891,0.8418924198397755
True,only_medium_window,Only medium partial-window features are available.,LightGBM,0.053132621602924666,0.026618296093800342,0.04343764726786312,0.023426310683896945,0.11561055026664935,0.8294343067637785
True,only_medium_window,Only medium partial-window features are available.,MAW-GME,0.014980314586435211,0.00594816046335853,0.012979183044582874,0.004918932019551426,0.925623636483391,0.06582544913142266
True,only_medium_window,Only medium partial-window features are available.,RandomForest,0.013146233349944428,0.004016018132517264,0.01121616349833868,0.004090952130296322,0.9452586238438764,0.04017016904001043
