cell,cycle_name,rpt_index,cycle_number,capacity_Ah,capacity_mAh,temp_mean,temp_max,temp_min,temp_std,n_charge_points,v_min_charge,v_max_charge,source_file,pmax_full_32_42,pmax_voltage_full_32_42,ic_area_full_32_42,ic_mean_full_32_42,ic_std_full_32_42,peak_width_full_32_42,charge_time_window_full_32_42,q_delta_window_full_32_42,dva_mean_full_32_42,dva_std_full_32_42,dva_abs_mean_full_32_42,temp_mean_window_full_32_42,temp_max_window_full_32_42,pmax_medium_35_40,pmax_voltage_medium_35_40,ic_area_medium_35_40,ic_mean_medium_35_40,ic_std_medium_35_40,peak_width_medium_35_40,charge_time_window_medium_35_40,q_delta_window_medium_35_40,dva_mean_medium_35_40,dva_std_medium_35_40,dva_abs_mean_medium_35_40,temp_mean_window_medium_35_40,temp_max_window_medium_35_40,pmax_narrow_36_385,pmax_voltage_narrow_36_385,ic_area_narrow_36_385,ic_mean_narrow_36_385,ic_std_narrow_36_385,peak_width_narrow_36_385,charge_time_window_narrow_36_385,q_delta_window_narrow_36_385,dva_mean_narrow_36_385,dva_std_narrow_36_385,dva_abs_mean_narrow_36_385,temp_mean_window_narrow_36_385,temp_max_window_narrow_36_385,pmax_very_narrow_365_38,pmax_voltage_very_narrow_365_38,ic_area_very_narrow_365_38,ic_mean_very_narrow_365_38,ic_std_very_narrow_365_38,peak_width_very_narrow_365_38,charge_time_window_very_narrow_365_38,q_delta_window_very_narrow_365_38,dva_mean_very_narrow_365_38,dva_std_very_narrow_365_38,dva_abs_mean_very_narrow_365_38,temp_mean_window_very_narrow_365_38,temp_max_window_very_narrow_365_38,soh,pmax_norm_full_32_42,pmax_norm_medium_35_40,pmax_norm_narrow_36_385,pmax_norm_very_narrow_365_38,soh_rolling_median,soh_delta,soh_outlier
Cell10,cyc_00000,0,0.0,5.04197207312567,5041.97207312567,22.635687844196916,25.121552,21.252148,0.8094664366453613,7272,2.8991325,4.2002897,OCV_wExpansion.csv,19733.832160324222,3.62974746760183,4981.328568436864,7624.0288452576415,4442.478557137954,0.23596535755656278,71623.89942133706,4975.324688931197,0.00021070259119730086,0.00026140843076306636,0.00021070259119730086,22.685144795321637,25.034864,20055.907327907,3.629786844343912,3763.9378291128146,8804.868181394244,4347.499678237062,0.22744354307692438,54210.00257483685,3765.4835274782945,0.00013967817222264084,5.69077926923553e-05,0.00013967817222264084,22.34032821282548,23.821243,20764.248082788403,3.629786844343912,2290.612482492443,10712.070797810718,4635.064410271299,0.10276721900452612,32990.001566941006,2291.513913595447,0.00011595059188132122,5.785164035797538e-05,0.00011595059188132122,22.11871044402845,22.623383,20256.518506225195,3.6515194778280744,1419.6257197989423,10986.653554293476,4304.479669895123,0.07485855855203605,20440.000970847897,1419.933706558634,0.00011187060617832249,6.0341917248229665e-05,0.00011187060617832249,22.100974522134628,22.418484,1.0,1.0,1.0,1.0,1.0,0.9310613545508473,,True
Cell10,cyc_00041,1,41.0,4.69438534801193,4694.38534801193,23.84281630222552,25.090029,22.930729,0.4141624821048172,6740,3.0171366,4.200211,OCV_wExpansion.csv,17020.460667957395,3.6378132433484365,4637.297884588444,6912.164387109203,3701.7882982848705,0.708552842979945,66591.61117008375,4629.6468034662885,0.00022280164072453857,0.0002827603828400091,0.00022280164072453857,23.809510659254304,24.822086,17306.58973654446,3.639508888778301,3484.9995403316493,7971.598610624438,3619.786427131062,0.24391534497737677,50180.00238342207,3486.172700809391,0.00014927707832000056,5.550619700068149e-05,0.00014927707832000056,23.926384027125597,24.822086,17783.826936002813,3.6395618214479843,2109.33718045983,9661.698329019591,3855.639030167007,0.12323975348416338,30380.001442972505,2110.3154941383527,0.000124278767738794,5.602984047739147e-05,0.000124278767738794,24.177154546031744,24.822086,17637.873238596345,3.6509023099547715,1361.4730345401981,10150.668952527682,3543.1123835241087,0.09387616932126752,19600.00093095,1361.5776537065615,0.00011465425536494644,5.071394130747507e-05,0.00011465425536494644,24.31652352238806,24.822086,0.9310613545508473,0.8625015420055013,0.8629173167579922,0.8564638057249915,0.8707257978796261,0.9200236330371112,-0.06893864544915274,False
Cell10,cyc_00082,2,82.0,4.58308158076554,4583.08158076554,25.257064727810647,27.769451,24.089186,0.6917568025690366,6591,3.015049,4.200211,OCV_wExpansion.csv,16287.02279064387,3.6408259937556764,4535.132595637828,6786.7389437113425,3593.3531373777782,0.7033748346537907,65382.86910797215,4527.176123266973,0.00022745909193851673,0.00029009977454472186,0.00022745909193851673,25.217591965476192,27.477869,16668.156026634344,3.644510137375586,3439.5017202398703,7864.663275216616,3489.626865699095,0.24838897547511474,49540.00235302378,3440.8057088341757,0.0001509040619723637,5.644100342299777e-05,0.0001509040619723637,25.309431668122272,26.390337,17121.771269886216,3.644510137375586,2042.579332281671,9356.719780746715,3724.489272811338,0.12350112850678885,29420.001397375003,2043.5124486670327,0.00012820682564715233,5.752287531473198e-05,0.00012820682564715233,25.36566991155089,26.18544,17444.074811451075,3.6517531706787536,1371.1762876870566,10061.091266548778,3407.883921342769,0.09833023493212689,19760.0009385497,1371.7672792714911,0.00011364668036202102,4.5382285335899684e-05,0.00011364668036202102,25.32143528140394,25.909616,0.9089859115233753,0.8253350215164837,0.8310846153263416,0.8245794021348909,0.8611585848817108,0.9089859115233753,-0.022075443027471997,False
Cell10,cyc_00123,3,123.0,4.4699205866506,4469.9205866506,25.00112854217054,25.728361,24.191633,0.29523152803006353,6450,3.0159156,4.2001715,OCV_wExpansion.csv,16000.52268604803,3.646686425972871,4435.244408602724,6659.464574876742,3494.8596856857125,0.6972529639685963,63976.29303871076,4426.7184388414325,0.00023186188896207478,0.00029681699455640786,0.00023186188896207478,24.985908195493938,25.728361,16231.971445044512,3.650320342443459,3392.151042820751,7724.987239714643,3363.031396166735,0.2538635876923099,48850.00232025053,3392.82269547135,0.0001529376269618044,5.6899565893563426e-05,0.0001529376269618044,25.103135405060353,25.728361,16764.78809672049,3.652407226515858,1986.393446074812,9066.271104228992,3585.136211806366,0.12219284325791913,28600.0013584271,1986.6005028731247,0.00013176222276261437,5.8483987670887976e-05,0.00013176222276261437,25.19736805661157,25.728361,16975.777338474047,3.6530325041629164,1372.4359054734832,9954.079460185869,3266.8785676298166,0.08845198941176546,19770.0009390247,1372.706096389331,0.00011321779621118022,4.141482522483026e-05,0.00011321779621118022,25.19101299573691,25.625914,0.8865421152322174,0.8108168021322193,0.8093361810890684,0.8073871988948598,0.8380402255825493,0.8865421152322174,-0.02244379629115789,False
Cell10,cyc_00164,4,164.0,4.40244960466655,4402.449604666551,24.432994638810197,25.373732,23.379925,0.3965069882517122,6354,3.0170972,4.2002501,OCV_wExpansion.csv,15484.546599455398,3.6512710404525093,4366.610119633147,6592.360671146357,3435.4494180946235,0.6927695902262481,62782.81898202376,4358.559909863072,0.00023485834919425438,0.0003033263894595538,0.00023485834919425438,24.414001010024627,25.373732,15838.352922867713,3.6512710404525093,3343.3258698097425,7642.3393795838665,3304.718041755162,0.25216697438914126,48140.00228652727,3343.7249522274924,0.00015470241304537646,5.831199989694943e-05,0.00015470241304537646,24.54680883352955,25.373732,16444.825116456275,3.6513283657013775,1947.6820700988615,8922.263288088297,3496.7666344416166,0.1268012088687791,28050.001332303495,1948.3164938354143,0.00013379527438544048,5.98895600261063e-05,0.00013379527438544048,24.749019516115528,25.373732,16679.6971216582,3.6513283657013775,1369.603598397155,9913.564796845923,3157.9986109520087,0.09795411692307754,19730.0009371247,1369.905181075373,0.00011282659559975999,3.962260381307542e-05,0.00011282659559975999,24.850712793814427,25.373732,0.873160251745968,0.7846700262601701,0.7897101170201994,0.7919778771130884,0.8234236853945176,0.873160251745968,-0.013381863486249368,False
Cell10,cyc_00205,5,205.0,4.26466378723291,4264.663787232909,22.976261269462054,23.860645,22.347559,0.258210103742577,6153,3.0174518,4.200211,OCV_wExpansion.csv,14715.735477275935,3.6541416504072606,4232.94619520735,6410.744122388058,3250.9735912258507,0.6884912134582875,61019.37689826478,4224.49899743251,0.00024052843603215832,0.00031672031835281984,0.00024052843603215832,22.978842238445,23.718794,14951.37751430108,3.6541416504072606,3228.2287750523774,7382.600610274022,3114.8132933428597,0.2529377849773766,46400.002203881726,3222.7330062801607,0.00015898989102412783,5.8966817261374926e-05,0.00015898989102412783,22.87634988298636,23.513897,15549.922772075104,3.6575324838914227,1878.173933224482,8585.899359073966,3272.6879159017153,0.11873657520362002,27050.0012848061,1878.7740537001032,0.00013771323463823847,6.010767273442197e-05,0.00013771323463823847,22.79158991656078,23.159267,15775.13445385459,3.6575324838914227,1351.453555340538,9686.432304747097,2842.3687568613095,0.10580343529411795,19450.000923825402,1351.562951938402,0.00011335390329029944,3.602951726869406e-05,0.00011335390329029944,22.767635634824668,23.143507,0.8458324888319178,0.745710987998702,0.7454849720758747,0.748879646885192,0.7787682986593479,0.8458324888319178,-0.027327762914050258,False
Cell10,cyc_00246,6,246.0,4.21412253322772,4214.12253322772,26.1775993716916,27.714287,24.956057,0.8328641762766159,6083,3.0179243,4.200211,OCV_wExpansion.csv,14386.77762076899,3.647429066063369,4186.335501378351,6280.663301148959,3111.0200167221287,0.684088073742712,60379.63886787882,4178.841683583372,0.00024359414348187425,0.00032172025122349644,0.00024359414348187425,26.21812640523827,27.714287,14589.562238181625,3.647429066063369,3189.423412754905,7225.086281357802,2964.1057719593628,0.25391453574660794,45770.00217395837,3178.835556900194,0.00016084795628171244,5.76856456944008e-05,0.00016084795628171244,25.969402840087888,27.477869,15016.203729733674,3.647429066063369,1846.6327738322893,8361.659216964794,3109.478832076276,0.11846440950226267,26600.001263432197,1847.3985942419083,0.00013972941738754497,5.803258246024112e-05,0.00013972941738754497,25.769907659583694,26.792252,15205.569826834646,3.6598672644344097,1328.0713076670345,9446.816567905375,2664.240191369906,0.10591884886877834,19130.000908626196,1328.671033570038,0.00011531243329936412,3.4941301665594126e-05,0.00011531243329936412,25.77960299132052,26.689802,0.8358083845187304,0.7290412477356663,0.7274446376146158,0.7231758968522769,0.7506507015093289,0.8358083845187304,-0.010024104313187343,False
Cell10,cyc_00287,7,287.0,4.10275581347726,4102.75581347726,25.781441710162053,27.12324,24.625069,0.45231174603483587,5924,3.0182002,4.2001715,OCV_wExpansion.csv,13548.885895001611,3.6510185042534142,4071.44308871737,6088.641804359497,2916.818960409055,0.6804446244408338,58472.68877730358,4062.6437135919386,0.00024913235427646667,0.00033123419534747536,0.00024913235427646667,25.768039338856827,26.957743,13802.224532018387,3.6510185042534142,3094.869902365127,6987.912885807567,2775.4912573182655,0.2521117864253406,44350.002106511994,3080.3665265486734,0.00016506152812249876,5.846631254249618e-05,0.00016506152812249876,25.90984588997494,26.67404,14294.818750177305,3.6602006601810153,1790.0233136669094,8035.429995427527,2887.7393791158524,0.12429947067873393,25780.001224484295,1790.5793872798365,0.00014370119240789906,5.719174698884283e-05,0.00014370119240789906,25.892949196815568,26.390337,14750.447656510889,3.6602006601810153,1301.4904590092963,9176.259857424993,2430.2770794535763,0.11360590850678776,18740.0008901023,1301.498640779722,0.00011745434772605431,3.3178413196585874e-05,0.00011745434772605431,25.857733673137133,26.343052,0.8137204558005094,0.6865815917012951,0.6881874904165087,0.688434211206827,0.7281827650678377,0.8137204558005094,-0.02208792871822096,False
Cell10,cyc_00328,8,328.0,4.02365736760322,4023.65736760322,25.996081490530297,26.831654,25.310686,0.2837108326834403,5808,3.0200119,4.200211,OCV_wExpansion.csv,12893.549404845468,3.6684480709502463,3995.950116994669,5958.080897545694,2742.3931629203944,0.6759295876922895,57407.922726729834,3987.647950417398,0.00025191370112532483,0.00033825686910923683,0.00025191370112532483,26.003955331768683,26.831654,13028.147054145906,3.6684480709502463,3023.132211760675,6805.024104374656,2589.1052958103787,0.26351077556561187,43350.00205901454,3011.286283423522,0.0001679706655682621,5.916879290228637e-05,0.0001679706655682621,25.982600700861195,26.831654,13347.831903725755,3.6684480709502463,1752.9528549069355,7799.381111445748,2680.7289401162934,0.142405915565611,25240.0011988356,1753.2547346542074,0.00014592350421873285,5.4366693629506446e-05,0.00014592350421873285,25.908421880835927,26.737087,13502.22302338355,3.6684480709502463,1280.1208724885769,8974.6639823166,2198.3039803870406,0.12193164796380129,18430.000875378,1280.3919684412797,0.0001189204811402585,3.155826484443686e-05,0.0001189204811402585,25.87383325031289,26.382458,0.7980324581823464,0.653372811732358,0.6495915064394896,0.642827606880205,0.6665618783027337,0.7980324581823464,-0.015687997618163085,False
Cell10,cyc_00358,9,358.0,3.87302935946735,3873.02935946735,25.91818466768347,26.776489,25.019102,0.36625951370647847,5573,3.0204844,4.2001715,OCV_wExpansion.csv,11906.62072988454,3.6691189329411964,3827.8606602990144,5674.303589053903,2454.7253483124405,0.6725641713718131,54982.09861150947,3818.6307746035486,0.00026171907039546007,0.00035855279134981786,0.00026171907039546007,25.928818095182365,26.776489,12124.674142104555,3.6691189329411964,2878.756769103465,6446.852982129462,2312.449792965008,0.26581459610859914,41260.001959744885,2866.011660599685,0.00017561041688956815,6.275306665372524e-05,0.00017561041688956815,25.83184142198676,26.658281,12531.05209712161,3.6691189329411964,1673.409079639747,7330.401378913809,2335.2931227137688,0.13900598959276067,24100.001144688602,1674.1240393517653,0.0001523519298096346,5.266794405660792e-05,0.0001523519298096346,25.66272112308407,26.54007,12742.632667632284,3.6723171717647265,1220.546478930478,8441.379717933081,1811.5840558070097,0.1374464309502268,17580.0008350051,1220.8080415900627,0.00012421225277531325,2.748037390199717e-05,0.00012421225277531325,25.557538352517984,26.193319,0.768157638181114,0.603360798508429,0.6045437857221025,0.6034917347914306,0.6290633142963952,0.768157638181114,-0.029874820001232316,False
