window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
very_narrow_365_38,XGBoost,0.016432515240236166,0.012674026813332444,4,340.27490234375,0.018349430033691643,19,Cell01,Dataset 1
full_32_42,CatBoost,0.0168238707840361,0.014136742442076664,4,104.1328125,0.0183902486702693,19,Cell01,Dataset 1
very_narrow_365_38,CatBoost,0.016910376289110275,0.014351237209010962,4,104.416015625,0.018485718052983238,19,Cell01,Dataset 1
medium_35_40,CatBoost,0.017812600318346777,0.01538295339527504,4,104.234375,0.01947137734982641,19,Cell01,Dataset 1
medium_35_40,ElasticNet,0.020720128026109962,0.017806542341298262,4,2.3896484375,0.021226000093339234,19,Cell01,Dataset 1
very_narrow_365_38,Ridge,0.02641274980935427,0.022953337845452386,4,2.388671875,0.027057452315964306,19,Cell01,Dataset 1
very_narrow_365_38,ElasticNet,0.029011425149795864,0.025384062517994493,4,2.4716796875,0.029733599904680295,19,Cell01,Dataset 1
full_32_42,SVR,0.038100629145108235,0.029556832832458337,4,6.822265625,0.03966806939447455,19,Cell01,Dataset 1
narrow_36_385,SVR,0.04210723606202658,0.03285563157716227,4,6.3828125,0.043790813608898915,19,Cell01,Dataset 1
medium_35_40,SVR,0.046170219949946106,0.037005982038283924,4,6.9697265625,0.048086884460514394,19,Cell01,Dataset 1
very_narrow_365_38,SVR,0.051099873132453885,0.045426934027024995,4,7.092041015625,0.05323674819684626,19,Cell01,Dataset 1
full_32_42,LightGBM,0.09158773366140742,0.07865111502143457,4,5.748046875,0.09508501697015428,19,Cell01,Dataset 1
medium_35_40,LightGBM,0.09158773366140742,0.07865111502143457,4,5.775390625,0.09509242442260163,19,Cell01,Dataset 1
narrow_36_385,LightGBM,0.09158773366140742,0.07865111502143457,4,5.7890625,0.09509611694587151,19,Cell01,Dataset 1
very_narrow_365_38,LightGBM,0.09158773366140742,0.07865111502143457,4,5.857421875,0.09511446872770143,19,Cell01,Dataset 1
full_32_42,HistGB,0.09158773397734267,0.07865111527352858,4,55.173583984375,0.09896685990749104,19,Cell01,Dataset 1
narrow_36_385,HistGB,0.09158773397734267,0.07865111527352858,4,55.2060546875,0.09896791843312355,19,Cell01,Dataset 1
medium_35_40,HistGB,0.09158773397734267,0.07865111527352858,4,55.206787109375,0.09896794230258857,19,Cell01,Dataset 1
very_narrow_365_38,HistGB,0.09158773397734267,0.07865111527352858,4,55.2646484375,0.09896982700811212,19,Cell01,Dataset 1
narrow_36_385,Ridge,0.005823704875343138,0.005220890986423888,4,2.3203125,0.005963480653258646,19,Cell03,Dataset 1
narrow_36_385,ElasticNet,0.006465988340246938,0.006053677590800213,4,2.4033203125,0.00662437292089634,19,Cell03,Dataset 1
narrow_36_385,ExtraTrees,0.006397821742153649,0.005269477768627327,4,1487.612548828125,0.007332620245652306,19,Cell03,Dataset 1
full_32_42,Ridge,0.007186871776750764,0.006133106208295317,4,2.279296875,0.007357578528182842,19,Cell03,Dataset 1
