dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,RandomForest,0.009413896662697865,0.01071082460961338,0.03850664151118521,1275.1953125,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,ElasticNet,0.010725426892842185,0.010987283087329085,0.037537750683434075,2.3896484375,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,CatBoost,0.011149612219437336,0.012188505782056968,0.03383826841370948,105.173828125,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,RandomForest,0.010858968434622434,0.012355032738148312,0.03338218064794742,1275.36328125,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,ExtraTrees,0.011166336108114912,0.012798214034098157,0.032226211035150144,1955.4677734375,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,CatBoost,0.012537261477417532,0.013705030086998115,0.03009391187328634,105.28125,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,CatBoost,0.013731590281845738,0.01501085773800709,0.02747597779132354,105.31640625,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,RandomForest,0.01385278406128854,0.015761395540144715,0.02616760716850326,1275.1640625,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,CatBoost,0.014920174398850919,0.016310399711719305,0.02528681228048085,105.0390625,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,XGBoost,0.014629961990172705,0.01632871795785141,0.025258444482790434,336.77734375,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,ElasticNet,0.01611757268059081,0.016518783722097315,0.024967820019827235,2.4716796875,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,XGBoost,0.015381100123203302,0.017166389519828535,0.024025904099550948,333.626953125,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,Ridge,0.017656523187629957,0.018087497048331572,0.02280238329670876,2.388671875,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,XGBoost,0.016365717901914916,0.018269792560652153,0.022574861837108738,345.0400390625,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,XGBoost,0.018564334555111868,0.02072947962901025,0.019896209505360123,354.3193359375,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,SVR,0.02256250618796174,0.023474250909305713,0.01756980848902801,8.1064453125,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,SVR,0.023304453555265937,0.024243759862970667,0.017012134289722234,7.6640625,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,SVR,0.02393163580603843,0.024927508471280085,0.016545500470620977,8.615234375,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,SVR,0.024236434898245923,0.02526177678810962,0.01632656755665862,8.376953125,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,LightGBM,0.0890783116302206,0.09247977250256222,0.004459766853220605,104.171875,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,LightGBM,0.0890783116302206,0.0924869769974341,0.004459419449023896,104.3896484375,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,LightGBM,0.0890783116302206,0.09249056834886718,0.004459246292549855,104.443359375,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,LightGBM,0.0890783116302206,0.09250841730827977,0.004458385907086581,104.490234375,19
Dataset 1,Cell03,MAW-GME-full-36experts,full_32_42,HistGB,0.08907831170802241,0.09625888394165077,0.0042846769966833976,84.37109375,19
Dataset 1,Cell03,MAW-GME-full-36experts,narrow_36_385,HistGB,0.08907831170802241,0.09626009670864602,0.004284623014665046,84.404296875,19
Dataset 1,Cell03,MAW-GME-full-36experts,medium_35_40,HistGB,0.08907831170802241,0.09626014304005523,0.004284620952413783,84.4140625,19
Dataset 1,Cell03,MAW-GME-full-36experts,very_narrow_365_38,HistGB,0.08907831170802241,0.0962620724452036,0.00428453507467756,84.46484375,19
Dataset 1,Cell03,Fast-MAW-GME-K3-latency-aware,narrow_36_385,Ridge,0.005823704875343138,0.005963480653258646,0.36852574496756596,2.3203125,19
Dataset 1,Cell03,Fast-MAW-GME-K3-latency-aware,narrow_36_385,ElasticNet,0.006465988340246938,0.00662437292089634,0.3317591784536951,2.4033203125,19
Dataset 1,Cell03,Fast-MAW-GME-K3-latency-aware,narrow_36_385,ExtraTrees,0.006397821742153649,0.007332620245652306,0.299715076578739,1952.7275390625,19
Dataset 1,Cell03,Fast-MAW-GME-K5-latency-aware,narrow_36_385,Ridge,0.005823704875343138,0.005963480653258646,0.23210829004581418,2.3203125,19
Dataset 1,Cell03,Fast-MAW-GME-K5-latency-aware,narrow_36_385,ElasticNet,0.006465988340246938,0.00662437292089634,0.20895163138376788,2.4033203125,19
Dataset 1,Cell03,Fast-MAW-GME-K5-latency-aware,narrow_36_385,ExtraTrees,0.006397821742153649,0.007332620245652306,0.18876931903838612,1952.7275390625,19
Dataset 1,Cell03,Fast-MAW-GME-K5-latency-aware,full_32_42,Ridge,0.007186871776750764,0.007357578528182842,0.1881289790710707,2.279296875,19
Dataset 1,Cell03,Fast-MAW-GME-K5-latency-aware,full_32_42,ElasticNet,0.007423564780308584,0.007603605031269685,0.18204178046096106,2.3623046875,19
