experiment,window,test_cell,model,exclude_outliers,n_train,n_test,n_features,RMSE,MAE,R2,n_val,seq_len,n_experts
ApproxPaper-GPR-EKF,paper_335_350,Cell51,ApproxPaper-GPR-EKF,True,231.0,57.0,1,0.00823456524152278,0.005357945041686189,0.9773665709525803,,,
ApproxPaper-GPR-EKF,paper_335_350,Cell52,ApproxPaper-GPR-EKF,True,230.0,58.0,1,0.004364146705935574,0.0028756984686134713,0.9933530104613365,,,
ApproxPaper-GPR-EKF,paper_335_350,Cell53,ApproxPaper-GPR-EKF,True,230.0,58.0,1,0.08241691234108547,0.035726864273971704,-1.3464401624640638,,,
ApproxPaper-GPR-EKF,paper_335_350,Cell54,ApproxPaper-GPR-EKF,True,230.0,58.0,1,0.0035036076891595395,0.001985889651017383,0.9956515629002054,,,
ApproxPaper-GPR-EKF,paper_335_350,Cell55,ApproxPaper-GPR-EKF,True,231.0,57.0,1,0.002883622885929564,0.0019933036028054467,0.996940062384578,,,
ApproxPaper-GPR-EKF,very_narrow_335_340,Cell51,ApproxPaper-GPR-EKF,True,231.0,57.0,1,0.01772330171423566,0.014716405923049429,0.8951524544513697,,,
ApproxPaper-GPR-EKF,very_narrow_335_340,Cell52,ApproxPaper-GPR-EKF,True,230.0,58.0,1,0.04261278676433848,0.022480839101224767,0.3662671991532892,,,
ApproxPaper-GPR-EKF,very_narrow_335_340,Cell53,ApproxPaper-GPR-EKF,True,230.0,58.0,1,0.111697109634951,0.07466848563712339,-3.3098352957271784,,,
ApproxPaper-GPR-EKF,very_narrow_335_340,Cell54,ApproxPaper-GPR-EKF,True,230.0,58.0,1,0.11624284243566989,0.08525464938681215,-3.786683283878726,,,
ApproxPaper-GPR-EKF,very_narrow_335_340,Cell55,ApproxPaper-GPR-EKF,True,231.0,57.0,1,0.018633319079912995,0.01337591485575181,0.8722337680173471,,,
MultiHI-Tabular,full_27_36,Cell51,Ridge,False,231.0,57.0,17,0.013276496397053424,0.011710845647066115,0.9411649711822617,,,
MultiHI-Tabular,full_27_36,Cell51,ElasticNet,False,231.0,57.0,17,0.010307959702754483,0.008734073089193694,0.9645338186211958,,,
MultiHI-Tabular,full_27_36,Cell51,SVR-RBF,False,231.0,57.0,17,0.018431105322894433,0.010790280287967231,0.8866107798602159,,,
MultiHI-Tabular,full_27_36,Cell51,KNN,False,231.0,57.0,17,0.033428496429317806,0.020542800722312456,0.6270052726502058,,,
MultiHI-Tabular,full_27_36,Cell51,RandomForest,False,231.0,57.0,17,0.005086713866145592,0.002879297705358529,0.9913633837299545,,,
MultiHI-Tabular,full_27_36,Cell51,ExtraTrees,False,231.0,57.0,17,0.005371298426012155,0.003256269042214925,0.9903699715320234,,,
MultiHI-Tabular,full_27_36,Cell51,HistGB,False,231.0,57.0,17,0.00604892555779419,0.0035186693637721425,0.987786912003372,,,
MultiHI-Tabular,full_27_36,Cell51,XGBoost,False,231.0,57.0,17,0.005442498633172819,0.003554195268419742,0.9901129742804541,,,
MultiHI-Tabular,full_27_36,Cell51,LightGBM,False,231.0,57.0,17,0.006368662517814255,0.0040472834034078675,0.9864616580844897,,,
MultiHI-Tabular,full_27_36,Cell51,CatBoost,False,231.0,57.0,17,0.007583540327993432,0.005889593591150477,0.9808038998157672,,,
MultiHI-Tabular,full_27_36,Cell52,Ridge,False,230.0,58.0,17,0.012679669360700327,0.010795919543795064,0.9438897543469649,,,
MultiHI-Tabular,full_27_36,Cell52,ElasticNet,False,230.0,58.0,17,0.010911986927943157,0.00893289968169877,0.9584439761936658,,,
MultiHI-Tabular,full_27_36,Cell52,SVR-RBF,False,230.0,58.0,17,0.005352132215510332,0.0038204969884355297,0.990002763200945,,,
MultiHI-Tabular,full_27_36,Cell52,KNN,False,230.0,58.0,17,0.010614553983634634,0.007773687893118788,0.9606785239019268,,,
MultiHI-Tabular,full_27_36,Cell52,RandomForest,False,230.0,58.0,17,0.0023046357073709276,0.0012344834019376142,0.9981463365566421,,,
MultiHI-Tabular,full_27_36,Cell52,ExtraTrees,False,230.0,58.0,17,0.0033058919836408637,0.0017969211103384215,0.9961857985136906,,,
MultiHI-Tabular,full_27_36,Cell52,HistGB,False,230.0,58.0,17,0.005346305479811312,0.0031228598642613183,0.9900245188474216,,,
MultiHI-Tabular,full_27_36,Cell52,XGBoost,False,230.0,58.0,17,0.004995549513762534,0.003561888979036442,0.9912905075295333,,,
MultiHI-Tabular,full_27_36,Cell52,LightGBM,False,230.0,58.0,17,0.005968328948290998,0.0039630579328028635,0.987568262955298,,,
MultiHI-Tabular,full_27_36,Cell52,CatBoost,False,230.0,58.0,17,0.007181335825052926,0.005318491103573548,0.982001480411843,,,
