experiment,window,test_cell,model,exclude_outliers,n_train,n_val,n_test,n_features,seq_len,RMSE,MAE,R2
MultiHI-DeepSequence,paper_335_350,Cell51,TCN,True,162,53,53,17,5,0.06276723172197152,0.052576413934554735,-0.3966511923265914
MultiHI-DeepSequence,paper_335_350,Cell51,TransformerEncoder,True,162,53,53,17,5,0.016139962868150674,0.011417376210748235,0.9076520904421621
MultiHI-DeepSequence,paper_335_350,Cell52,LSTM,True,161,53,54,17,5,0.06602029993427193,0.0476199227108493,-0.621648221668232
MultiHI-DeepSequence,paper_335_350,Cell52,GRU,True,161,53,54,17,5,0.12518868932098276,0.10074668345099243,-4.830849731052138
MultiHI-DeepSequence,paper_335_350,Cell52,TCN,True,161,53,54,17,5,0.04387671909780699,0.03392792948466625,0.2837412257155133
MultiHI-DeepSequence,paper_335_350,Cell52,TransformerEncoder,True,161,53,54,17,5,0.015916209403914736,0.011472859494826222,0.9057500881182208
MultiHI-DeepSequence,paper_335_350,Cell53,LSTM,True,161,53,54,17,5,0.03510363847311365,0.029543314625743645,0.5476877261288389
MultiHI-DeepSequence,paper_335_350,Cell53,GRU,True,161,53,54,17,5,0.10436760020833961,0.09361428052479694,-2.998209084565951
MultiHI-DeepSequence,paper_335_350,Cell53,TCN,True,161,53,54,17,5,0.06191480905343196,0.05278312918884273,-0.4070942303250218
MultiHI-DeepSequence,paper_335_350,Cell53,TransformerEncoder,True,161,53,54,17,5,0.018829462551898806,0.0168200195457143,0.8698602539938453
MultiHI-DeepSequence,paper_335_350,Cell54,LSTM,True,161,53,54,17,5,0.05461205856236574,0.050885885057604795,-0.1266007013192143
MultiHI-DeepSequence,paper_335_350,Cell54,GRU,True,161,53,54,17,5,0.11472430536484748,0.09690571954402441,-3.971687196367361
MultiHI-DeepSequence,paper_335_350,Cell54,TCN,True,161,53,54,17,5,0.06629698235658113,0.04649698998941771,-0.6602765917391862
MultiHI-DeepSequence,paper_335_350,Cell54,TransformerEncoder,True,161,53,54,17,5,0.0225469718559611,0.013866348661178793,0.8079698734207892
MultiHI-DeepSequence,paper_335_350,Cell55,LSTM,True,161,54,53,17,5,0.038928323499713785,0.031733024226292546,0.4019484022809794
MultiHI-DeepSequence,paper_335_350,Cell55,GRU,True,161,54,53,17,5,0.06280456699128383,0.05226934951324051,-0.5566454445580609
MultiHI-DeepSequence,paper_335_350,Cell55,TCN,True,161,54,53,17,5,0.06911282300473671,0.06171678123003218,-0.8850571394642388
MultiHI-DeepSequence,paper_335_350,Cell55,TransformerEncoder,True,161,54,53,17,5,0.01980900536264824,0.01577319661398153,0.8451423755571893
MultiHI-DeepSequence,very_narrow_335_340,Cell51,LSTM,True,162,53,53,17,5,0.029704226878194007,0.025264862822409407,0.6872059285032456
MultiHI-DeepSequence,very_narrow_335_340,Cell51,GRU,True,162,53,53,17,5,0.06721672443795353,0.055891306270066464,-0.6016834800458293
MultiHI-DeepSequence,very_narrow_335_340,Cell51,TCN,True,162,53,53,17,5,0.04307428438066212,0.03457130286829204,0.34225410183852656
MultiHI-DeepSequence,very_narrow_335_340,Cell51,TransformerEncoder,True,162,53,53,17,5,0.01643890144261622,0.01198451060023213,0.9041995410007334
MultiHI-DeepSequence,very_narrow_335_340,Cell52,LSTM,True,161,53,54,17,5,0.023552908748278048,0.01916819426149468,0.7936089963027737
MultiHI-DeepSequence,very_narrow_335_340,Cell52,GRU,True,161,53,54,17,5,0.04397947268105881,0.033059266640965305,0.2803825272633951
MultiHI-DeepSequence,very_narrow_335_340,Cell52,TCN,True,161,53,54,17,5,0.0455705613032594,0.03584674146294102,0.22737204085164964
MultiHI-DeepSequence,very_narrow_335_340,Cell52,TransformerEncoder,True,161,53,54,17,5,0.015713086686689925,0.011886279171654968,0.9081403731312307
MultiHI-DeepSequence,very_narrow_335_340,Cell53,LSTM,True,161,53,54,17,5,0.04097248902447804,0.034351690501308714,0.3838041038284632
MultiHI-DeepSequence,very_narrow_335_340,Cell53,GRU,True,161,53,54,17,5,0.07677111523392459,0.0698275453574912,-1.163365031635025
MultiHI-DeepSequence,very_narrow_335_340,Cell53,TCN,True,161,53,54,17,5,0.03250267776753502,0.026055593317379503,0.6122316211436769
MultiHI-DeepSequence,very_narrow_335_340,Cell53,TransformerEncoder,True,161,53,54,17,5,0.018762763407556223,0.014454914407446041,0.8707806027114464
MultiHI-DeepSequence,very_narrow_335_340,Cell54,LSTM,True,161,53,54,17,5,0.07600473912659075,0.037933995280233994,-1.1820980848607632
MultiHI-DeepSequence,very_narrow_335_340,Cell54,GRU,True,161,53,54,17,5,0.06056584138391087,0.04561840110800222,-0.3856336844635482
MultiHI-DeepSequence,very_narrow_335_340,Cell54,TCN,True,161,53,54,17,5,0.08696902621388472,0.06562737237049504,-1.8570782654253977
MultiHI-DeepSequence,very_narrow_335_340,Cell54,TransformerEncoder,True,161,53,54,17,5,0.11381777343599589,0.044358803934627884,-3.893426771549999
MultiHI-DeepSequence,very_narrow_335_340,Cell55,LSTM,True,161,54,53,17,5,0.02563088141502665,0.02185897120219869,0.7407407046785285
MultiHI-DeepSequence,very_narrow_335_340,Cell55,GRU,True,161,54,53,17,5,0.07189712392206339,0.054805893554176546,-1.0400005721408005
MultiHI-DeepSequence,very_narrow_335_340,Cell55,TCN,True,161,54,53,17,5,0.09671099849157759,0.08163853614156091,-2.691126998881319
MultiHI-DeepSequence,very_narrow_335_340,Cell55,TransformerEncoder,True,161,54,53,17,5,0.02775459434511629,0.022978120520174953,0.6959975931748332
