scenario,scenario_description,exclude_outliers,test_cell,window,model_name,n_features,val_rmse,weight
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,XGBoost,13,0.00469311707740707,0.03879120233416359
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,LightGBM,13,0.006982839631961038,0.026071310658956952
all_windows_available,All voltage-window features are available.,False,Cell53,paper_335_350,CatBoost,13,0.008260443427554465,0.022038988977574392
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,Ridge,13,0.007604793084529488,0.023939086918632963
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,ExtraTrees,13,0.004213455058531509,0.04320720345621873
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,RandomForest,13,0.003602989513883844,0.05052791190731994
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,HistGB,13,0.006261973024295185,0.029072586325021257
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,XGBoost,13,0.005513996839466052,0.033016288760582754
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,LightGBM,13,0.006748204908619947,0.026977807391269086
all_windows_available,All voltage-window features are available.,False,Cell53,very_narrow_335_340,CatBoost,13,0.007213745478186484,0.025236791375884946
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,Ridge,13,0.020855548141252102,0.010453690649512869
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,ExtraTrees,13,0.012114353853396629,0.01799661589910487
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,RandomForest,13,0.013854028740517488,0.01573675064831207
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,HistGB,13,0.015058877149938348,0.014477666972387908
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,XGBoost,13,0.012891953210524882,0.016911121259917308
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,LightGBM,13,0.012534602880902848,0.01739324183387749
all_windows_available,All voltage-window features are available.,False,Cell54,full_27_36,CatBoost,13,0.012569532280580097,0.017344907894412
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,Ridge,13,0.009810961762521815,0.022221810276165734
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,ExtraTrees,13,0.005423073525371893,0.04020176936452926
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,RandomForest,13,0.005277757558381426,0.04130866900065607
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,HistGB,13,0.00907613867017601,0.024020932341928154
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,XGBoost,13,0.005580464430326053,0.03906792439488714
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,LightGBM,13,0.009727454054644421,0.022412578644018293
all_windows_available,All voltage-window features are available.,False,Cell54,medium_32_35,CatBoost,13,0.008211824621248018,0.02654918945487059
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,Ridge,13,0.011376879353439838,0.019163195347914747
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,ExtraTrees,13,0.005904471590935154,0.03692408042499281
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,RandomForest,13,0.005948443177067977,0.03665113377240049
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,HistGB,13,0.008830096978401097,0.024690250487888928
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,XGBoost,13,0.005414826751179115,0.040262996494604276
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,LightGBM,13,0.008679009896563925,0.02512006605929012
all_windows_available,All voltage-window features are available.,False,Cell54,narrow_33_345,CatBoost,13,0.00903424531798524,0.024132321420842904
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,Ridge,13,0.010768958822779656,0.02024497950726772
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,ExtraTrees,13,0.004910490387733095,0.04439823560063411
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,RandomForest,13,0.004674482439226788,0.04663983437047586
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,HistGB,13,0.007437747829268125,0.029312268312052855
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,XGBoost,13,0.004950718023672772,0.04403747329465284
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,LightGBM,13,0.006819635507265666,0.03196904485714143
all_windows_available,All voltage-window features are available.,False,Cell54,paper_335_350,CatBoost,13,0.00849178877690731,0.025673895350000336
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,Ridge,13,0.009851451711937364,0.02213047763941462
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,ExtraTrees,13,0.005113599439722417,0.042634768200720034
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,RandomForest,13,0.00550419526053603,0.03960927015108215
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,HistGB,13,0.007925703231346452,0.02750762571995573
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,XGBoost,13,0.005919824548857669,0.03682831865185307
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,LightGBM,13,0.00708945104356718,0.030752345177127872
all_windows_available,All voltage-window features are available.,False,Cell54,very_narrow_335_340,CatBoost,13,0.008644430687943783,0.025220550525107254
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,Ridge,13,0.02030940025326974,0.006591620415075787
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,ExtraTrees,13,0.009196746418728608,0.014556428065331894
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,RandomForest,13,0.011965923562618568,0.011187754180903746
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,HistGB,13,0.012506612739614969,0.010704082631321441
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,XGBoost,13,0.011432932180338784,0.011709315164194718
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,LightGBM,13,0.010750722344900586,0.012452353844257136
all_windows_available,All voltage-window features are available.,False,Cell55,full_27_36,CatBoost,13,0.007348904591045071,0.018216557232374198
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,Ridge,13,0.007569467282266146,0.017685755337061248
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,ExtraTrees,13,0.0025230206986614654,0.05305996606169911
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,RandomForest,13,0.0029466822833756085,0.04543125320511724
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,HistGB,13,0.006243919452433242,0.02144033244825225
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,XGBoost,13,0.004355050313770936,0.030739395920715975
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,LightGBM,13,0.006668542087375676,0.020075110982043173
all_windows_available,All voltage-window features are available.,False,Cell55,medium_32_35,CatBoost,13,0.00401677544418492,0.03332812396973009
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,Ridge,13,0.005709340955883108,0.023447835713384584
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,ExtraTrees,13,0.002383300786616663,0.05617056910720667
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,RandomForest,13,0.0026445578978087567,0.05062147330553559
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,HistGB,13,0.005535963304511305,0.024182183670305845
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,XGBoost,13,0.004339253884005143,0.030851298013256225
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,LightGBM,13,0.005812327877156031,0.023032371151331915
all_windows_available,All voltage-window features are available.,False,Cell55,narrow_33_345,CatBoost,13,0.004349826144899764,0.030776314045890856
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,Ridge,13,0.004540666105552372,0.029482817124943748
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,ExtraTrees,13,0.0019398264326196627,0.06901196461333305
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,RandomForest,13,0.0023663107060292858,0.05657387137022565
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,HistGB,13,0.005911029066270434,0.022647781843889714
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,XGBoost,13,0.0040547755646732474,0.033015783722311426
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,LightGBM,13,0.006004285231873173,0.022296026106937122
all_windows_available,All voltage-window features are available.,False,Cell55,paper_335_350,CatBoost,13,0.006278295349335974,0.021322939200107773
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,Ridge,13,0.008990998518479905,0.014889533578846599
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,ExtraTrees,13,0.0026492454295913587,0.05053190483193679
all_windows_available,All voltage-window features are available.,False,Cell55,very_narrow_335_340,RandomForest,13,0.0029909191814559855,0.04475930893771061
