exclude_outliers,window,experiment,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,,mean,std,mean,std,mean,std
False,paper_335_350,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020280570972726585,0.03479757187619125,0.009587940207618838,0.014677023518390201,0.5233742088469273,1.0452876923085235
False,paper_335_350,MultiHI-Tabular,CatBoost,0.005539329616709829,0.001906709632578398,0.004139125848552276,0.0014314641837671076,0.9880695108239819,0.00847109323286282
False,paper_335_350,MultiHI-Tabular,ElasticNet,0.005869215452934085,0.0024506080469227365,0.004749350660102426,0.002686014028974877,0.9859656999522735,0.013182194290607394
False,paper_335_350,MultiHI-Tabular,ExtraTrees,0.002290542646652917,0.0011348872320235694,0.0014814560522184298,0.0005740256365828792,0.9977742209932854,0.0021866836035494843
False,paper_335_350,MultiHI-Tabular,HistGB,0.004466996211941386,0.0005420176086374028,0.0025352561166875343,0.00042638763263861014,0.9929343403419896,0.0017153644400253049
False,paper_335_350,MultiHI-Tabular,KNN,0.011131846120032545,0.0023913221582120047,0.007873230461083323,0.000877938491423809,0.9549314432129791,0.020913050108020078
False,paper_335_350,MultiHI-Tabular,LightGBM,0.004925072441786298,0.0008586474852854916,0.0029974225744438085,0.0005960777848772606,0.9912425640113952,0.0034826271554502263
False,paper_335_350,MultiHI-Tabular,RandomForest,0.002446353519231715,0.0008580458161468187,0.0015454672457059276,0.00044700240097042787,0.9976809853089733,0.001633465848147983
False,paper_335_350,MultiHI-Tabular,Ridge,0.00562456842841058,0.002531156966508325,0.004630543629267422,0.002703886071591529,0.9868359023999025,0.013260643071815927
False,paper_335_350,MultiHI-Tabular,SVR-RBF,0.008476171219741747,0.002707927234917398,0.004582554083587294,0.00139701562076464,0.972822694151005,0.017816952841261807
False,paper_335_350,MultiHI-Tabular,XGBoost,0.003002322597933981,0.0012407051206207579,0.0019792131903736835,0.0007714620595771879,0.9963975466469602,0.0024764805821826698
False,paper_335_350,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.02831122726169666,0.0022726946309424715,0.013167414192681564,0.0012741646049485367,0.716991921597829,0.05293349639611595
