exclude_outliers,window,experiment,model,RMSE,MAE,R2
False,paper_335_350,MultiHI-Tabular,Ridge,0.00562456842841058,0.004630543629267422,0.9868359023999025
False,paper_335_350,MultiHI-Tabular,ElasticNet,0.005869215452934085,0.004749350660102426,0.9859656999522735
False,paper_335_350,MultiHI-Tabular,SVR-RBF,0.008476171219741747,0.004582554083587294,0.972822694151005
False,paper_335_350,MultiHI-Tabular,KNN,0.011131846120032545,0.007873230461083323,0.9549314432129791
False,paper_335_350,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.020280570972726585,0.009587940207618838,0.5233742088469273
False,paper_335_350,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.02831122726169666,0.013167414192681564,0.716991921597829
False,very_narrow_335_340,MultiHI-Tabular,RandomForest,0.0025460405776984224,0.0015965549568076214,0.9973722803921377
False,very_narrow_335_340,MultiHI-Tabular,ExtraTrees,0.0026008991240397046,0.0016993310587001182,0.9971931704385073
False,very_narrow_335_340,MultiHI-Tabular,XGBoost,0.003311630903812858,0.0021804522967902194,0.9953703407145735
False,very_narrow_335_340,MultiHI-Tabular,HistGB,0.004866355332768564,0.0027417043149143712,0.9915674991974747
False,very_narrow_335_340,MultiHI-Tabular,CatBoost,0.00488032203847803,0.0033962971349034616,0.9910125188440801
False,very_narrow_335_340,MultiHI-Tabular,LightGBM,0.005066673788753064,0.003000696227717919,0.9908090865531738
False,very_narrow_335_340,MultiHI-Tabular,ElasticNet,0.006807646358562461,0.004459914022927832,0.9793449080698547
False,very_narrow_335_340,MultiHI-Tabular,Ridge,0.007653349892490656,0.005264388960328258,0.9765153967519213
False,very_narrow_335_340,MultiHI-Tabular,SVR-RBF,0.010411538563514499,0.006834165121367894,0.9465186772471045
False,very_narrow_335_340,MultiHI-Tabular,KNN,0.01325987586535326,0.009199046725598663,0.9304619565414264
False,very_narrow_335_340,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.018741686376279536,0.013034960342479973,0.8483251566554026
False,very_narrow_335_340,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.061381871925821604,0.04209925898079231,-0.9925730315967798
True,adaptive_all_windows,MAW-GME,MAW-GME,0.0029321054597015016,0.002116346532768351,0.9962433953017887
True,full_27_36,MultiHI-Tabular,RandomForest,0.0032651087243291176,0.001967283732895172,0.9958505895013605
True,full_27_36,MultiHI-Tabular,ExtraTrees,0.0036753298050966167,0.002244061227519672,0.9947586621582474
True,full_27_36,MultiHI-Tabular,XGBoost,0.004240037856840867,0.0028843116496335757,0.9933628049170601
True,full_27_36,MultiHI-Tabular,HistGB,0.0056660236440096755,0.003365347377110019,0.9886120544229999
True,full_27_36,MultiHI-Tabular,LightGBM,0.006073295294450465,0.003772425660584723,0.9869202424359329
True,full_27_36,MultiHI-Tabular,CatBoost,0.006940426840820334,0.005338495593746278,0.9816499521409646
True,full_27_36,MultiHI-Tabular,ElasticNet,0.011210897770151934,0.009762093893831396,0.9519041611184615
True,full_27_36,SingleHI-Polynomial-EKF,SingleHI-Polynomial-EKF,0.011681051070879689,0.009584959566759012,0.9458444741392796
True,full_27_36,MultiHI-Tabular,Ridge,0.01397525888846926,0.012526134544368971,0.9248177469145764
True,full_27_36,MultiHI-Tabular,SVR-RBF,0.014915585389629707,0.007001975175811024,0.912904080056429
True,full_27_36,ApproxPaper-GPR-EKF,ApproxPaper-GPR-EKF,0.01564616891498405,0.01219402757768104,0.8442969655575036
True,full_27_36,MultiHI-Tabular,KNN,0.01677747453522658,0.010424506731900611,0.8776229997239436
True,full_27_36,MultiHI-DeepSequence,LSTM,0.03915324666713034,0.028463137294399116,0.36917066108848584
True,full_27_36,MultiHI-DeepSequence,TransformerEncoder,0.042437686309998154,0.030062029525531282,-0.275217844209156
True,full_27_36,MultiHI-DeepSequence,GRU,0.07041261387795429,0.05131074058132725,-0.8858390891861518
True,full_27_36,MultiHI-DeepSequence,TCN,0.07312243771822804,0.06190036246411482,-1.2721323501215132
True,medium_32_35,MultiHI-Tabular,RandomForest,0.002544801322527767,0.001596752533307668,0.9972860094733462
True,medium_32_35,MultiHI-Tabular,ExtraTrees,0.002802757781324032,0.001814378547246249,0.9966529620425353
True,medium_32_35,MultiHI-Tabular,XGBoost,0.0031181323639338466,0.0020396633756676165,0.9959837469918218
True,medium_32_35,MultiHI-Tabular,HistGB,0.005177685145852591,0.002915330364239345,0.9902272055264852
True,medium_32_35,MultiHI-Tabular,LightGBM,0.005506822891073723,0.0034176377498253987,0.9886695034645008
True,medium_32_35,MultiHI-Tabular,CatBoost,0.0056807796888974854,0.004384331740665335,0.9871443484231157
True,medium_32_35,MultiHI-Tabular,SVR-RBF,0.005681716359693531,0.004012471507361865,0.9885099466252489
True,medium_32_35,MultiHI-Tabular,ElasticNet,0.006203311657047699,0.005410917824131639,0.9841615803276802
True,medium_32_35,MultiHI-Tabular,KNN,0.008131873080528929,0.006097033756048117,0.9757206634232943
True,medium_32_35,MultiHI-Tabular,Ridge,0.008438647148019725,0.007648555618249382,0.9652905054824155
