exclude_outliers,scenario,model,RMSE,RMSE,MAE,MAE,R2,R2
,,,mean,std,mean,std,mean,std
False,only_medium_window,ExtraTrees,0.002802757781324027,0.0014472616347336173,0.0018143785472462502,0.0009099830863075962,0.9966529620425353,0.003126107699166978
False,only_medium_window,HistGB,0.005177685145852591,0.0011562269514534408,0.002915330364239345,0.0006816254957600167,0.9902272055264852,0.004238250061487501
False,only_medium_window,LightGBM,0.005506822891073723,0.0014860474876995501,0.0034176377498253987,0.001189531068700725,0.9886695034645008,0.0060940224360110685
False,only_medium_window,RandomForest,0.002544801322527777,0.001271352579753554,0.0015967525333076792,0.0006735259591403893,0.9972860094733462,0.002441263179829772
False,only_medium_window,Ridge,0.008438647148019725,0.005715381834886933,0.007648555618249382,0.005915391236174312,0.9652905054824155,0.04222048486337685
False,only_medium_window,XGBoost,0.0031181323639338466,0.0014808374362995508,0.0020396633756676165,0.0008837191117445761,0.9959837469918218,0.003196202372851835
False,only_narrow_window,CatBoost,0.005907581414425676,0.0023621853378977624,0.004632640102793686,0.001983302007207082,0.9861981325409175,0.010260965898538569
False,only_narrow_window,ExtraTrees,0.002815872267388792,0.0016394442297248918,0.0018531954373303666,0.0009336662368736229,0.9964506944291435,0.003665198444638511
False,only_narrow_window,HistGB,0.004796524955611909,0.00128045413330909,0.0028261747191918466,0.0008126780960493758,0.9914371592506261,0.004835900734771324
False,only_narrow_window,LightGBM,0.005236489760794846,0.0012622559474699843,0.0032218971133126167,0.0008696739403223738,0.9898667348858854,0.005302765228556347
False,only_narrow_window,RandomForest,0.0027059876579969243,0.0014069753469394062,0.00168024973419174,0.0007654296708333012,0.9968545413457243,0.003096319292349814
False,only_narrow_window,Ridge,0.006216254840158524,0.002615761232856157,0.0052339914591665185,0.0028396605362579347,0.9843555233455945,0.0139453064851049
False,only_narrow_window,XGBoost,0.003404584873916533,0.001584228609341277,0.002193630945617429,0.0009254282833117541,0.9952048882600014,0.004125220169258638
False,only_very_narrow_window,CatBoost,0.00488032203847803,0.0013952068211758133,0.0033962971349034616,0.0012503502194466058,0.9910125188440801,0.005480624079035637
False,only_very_narrow_window,ExtraTrees,0.002600899124039698,0.0012512816246122707,0.001699331058700112,0.0007056276905766923,0.9971931704385073,0.0024451541329642123
False,only_very_narrow_window,HistGB,0.004866355332768564,0.0006205861883237264,0.0027417043149143712,0.0006091534771376782,0.9915674991974747,0.0023086146449023673
False,only_very_narrow_window,LightGBM,0.005066673788753064,0.0007379777929688077,0.003000696227717919,0.0005849030439881699,0.9908090865531738,0.0027664534912148035
False,only_very_narrow_window,RandomForest,0.002546040577698419,0.0011403195288365454,0.0015965549568076145,0.0005578063107129009,0.9973722803921377,0.00218053945768189
False,only_very_narrow_window,Ridge,0.007653349892490656,0.0031615973324132293,0.005264388960328258,0.0014753633017896503,0.9765153967519213,0.020458952590845472
