exclude_outliers,scenario,model,RMSE,MAE,R2
False,only_medium_window,CatBoost,0.0056807796888974854,0.004384331740665335,0.9871443484231157
False,only_medium_window,Ridge,0.008438647148019725,0.007648555618249382,0.9652905054824155
False,only_narrow_window,RandomForest,0.0027059876579969243,0.00168024973419174,0.9968545413457243
False,only_narrow_window,ExtraTrees,0.002815872267388792,0.0018531954373303666,0.9964506944291435
False,only_narrow_window,XGBoost,0.003404584873916533,0.002193630945617429,0.9952048882600014
False,only_narrow_window,HistGB,0.004796524955611909,0.0028261747191918466,0.9914371592506261
False,only_narrow_window,LightGBM,0.005236489760794846,0.0032218971133126167,0.9898667348858854
False,only_narrow_window,CatBoost,0.005907581414425676,0.004632640102793686,0.9861981325409175
False,only_narrow_window,Ridge,0.006216254840158524,0.0052339914591665185,0.9843555233455945
False,only_very_narrow_window,RandomForest,0.002546040577698419,0.0015965549568076145,0.9973722803921377
False,only_very_narrow_window,ExtraTrees,0.002600899124039698,0.001699331058700112,0.9971931704385073
False,only_very_narrow_window,XGBoost,0.003311630903812858,0.0021804522967902194,0.9953703407145735
False,only_very_narrow_window,HistGB,0.004866355332768564,0.0027417043149143712,0.9915674991974747
False,only_very_narrow_window,CatBoost,0.00488032203847803,0.0033962971349034616,0.9910125188440801
False,only_very_narrow_window,LightGBM,0.005066673788753064,0.003000696227717919,0.9908090865531738
False,only_very_narrow_window,Ridge,0.007653349892490656,0.005264388960328258,0.9765153967519213
False,pmax_features_missing,RandomForest,0.00275023118378257,0.0017292593100591627,0.9967891766977062
False,pmax_features_missing,ExtraTrees,0.002783906221232222,0.001972602157073788,0.9967202320468308
False,pmax_features_missing,XGBoost,0.0032375474728446804,0.0020217958055037044,0.9954895606656754
False,pmax_features_missing,HistGB,0.004574039868848971,0.002707283721137412,0.991794902095334
False,pmax_features_missing,LightGBM,0.005266176136682585,0.00326073332767953,0.9893918591312657
False,pmax_features_missing,Ridge,0.005880714243859874,0.003970233348672164,0.9829637732007436
False,pmax_features_missing,CatBoost,0.006232432872103292,0.005031714698569181,0.9843773234449346
True,all_windows_available,RandomForest,0.002717982637965785,0.0017028089701509618,0.9968583214613066
True,all_windows_available,ExtraTrees,0.002753904423387389,0.0019859049109923607,0.9967034381169905
True,all_windows_available,XGBoost,0.0031743844223737576,0.002027898170307231,0.99574127331266
True,all_windows_available,HistGB,0.004258780977059809,0.00251043997756025,0.99301439949753
True,all_windows_available,LightGBM,0.004811670783870065,0.0031050220241155843,0.990856606603489
True,all_windows_available,CatBoost,0.00679031645828834,0.005097774192520421,0.98196780187192
True,all_windows_available,Ridge,0.008672681094251792,0.007943809405084476,0.9671781196532964
True,ica_shape_features_missing,RandomForest,0.0026538830400294963,0.0016712738981804122,0.9970243471698957
True,ica_shape_features_missing,ExtraTrees,0.0026707540255638974,0.0018958449160401138,0.996971140422571
True,ica_shape_features_missing,XGBoost,0.0031215731471102774,0.0020111064452699176,0.9959046078996752
True,ica_shape_features_missing,HistGB,0.004471718716800385,0.002631088253329702,0.9924709508698216
True,ica_shape_features_missing,LightGBM,0.004797823594036298,0.0030644496417574136,0.9911643420828256
True,ica_shape_features_missing,CatBoost,0.005979936188455839,0.004565433249811826,0.9858265603373357
True,ica_shape_features_missing,Ridge,0.007823005215118698,0.007362829212849078,0.9707445827859097
True,only_full_window,RandomForest,0.0032651087243291193,0.0019672837328951827,0.9958505895013605
True,only_full_window,ExtraTrees,0.0036753298050966297,0.0022440612275196753,0.9947586621582474
True,only_full_window,XGBoost,0.004240037856840867,0.0028843116496335757,0.9933628049170601
True,only_full_window,HistGB,0.0056660236440096755,0.003365347377110019,0.9886120544229999
True,only_full_window,LightGBM,0.006073295294450465,0.003772425660584723,0.9869202424359329
True,only_full_window,CatBoost,0.006940426840820334,0.005338495593746278,0.9816499521409646
True,only_full_window,Ridge,0.01397525888846926,0.012526134544368971,0.9248177469145764
