experiment,scenario,scenario_description,test_cell,model,exclude_outliers,n_features,RMSE,MAE,R2
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell52,CatBoost,False,13,0.007181335825052926,0.005318491103573548,0.982001480411843
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell53,CatBoost,False,13,0.004178558446848093,0.00342439228143795,0.9939684384273596
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell54,CatBoost,False,13,0.005765589466198672,0.00400481322644188,0.988224220038542
StructuredWindowAblation,only_full_window,Only full-window features are available.,Cell55,CatBoost,False,13,0.009993110138008547,0.008055187766127538,0.9632517220113112
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,Ridge,False,13,0.004906480013203443,0.003718144713624223,0.9919645708766224
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,Ridge,False,13,0.004340140163623026,0.0038063305804970234,0.9934259375910341
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,Ridge,False,13,0.004251359899832346,0.003216095834902271,0.9937564363002352
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,Ridge,False,13,0.016995543423773494,0.016546430851927467,0.8976772127387096
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,Ridge,False,13,0.011699712239666317,0.010955776110295924,0.9496283699054759
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,ExtraTrees,False,13,0.004282217433937325,0.002583730958889023,0.9938792246894479
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,ExtraTrees,False,13,0.001475120315690535,0.0010528700051397094,0.9992405814508059
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,ExtraTrees,False,13,0.001970044600998829,0.0011719985272607655,0.9986593083012054
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,ExtraTrees,False,13,0.0018200204976284633,0.0012580024376702846,0.9988265764253995
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,ExtraTrees,False,13,0.004466386058364985,0.0030052908072714687,0.9926591193458183
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,RandomForest,False,13,0.004124307347587202,0.002322324830458036,0.9943223181854188
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,RandomForest,False,13,0.0014623489300974407,0.0010463879914204852,0.9992536744052863
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,RandomForest,False,13,0.0015277096646128094,0.001108503318113507,0.9991937709260807
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,RandomForest,False,13,0.0019022928151927786,0.0011625923810577588,0.9987180916216523
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,RandomForest,False,13,0.003707347855148652,0.0023439541454886082,0.9949421922282928
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,HistGB,False,13,0.006300839066364176,0.003618123650857797,0.9867484774187852
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,HistGB,False,13,0.005081882960575527,0.0028523958387836534,0.9909868701118426
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,HistGB,False,13,0.0037375408077573694,0.002073414521450116,0.9951744292258096
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,HistGB,False,13,0.004404904322302766,0.002454514491886062,0.9931265431577783
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,HistGB,False,13,0.006363258572263117,0.0035782033182190963,0.9850997077182109
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,XGBoost,False,13,0.004796935845804461,0.0029592645355311434,0.9923193703036055
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,XGBoost,False,13,0.0020553016221412593,0.0017159028180144063,0.9985257285940705
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,XGBoost,False,13,0.0013038382842283974,0.0008562111703841679,0.9994127483289962
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,XGBoost,False,13,0.0030793754409555313,0.0017856791345268435,0.9966408644091015
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,XGBoost,False,13,0.004355210626539586,0.002881259219881522,0.9930200233233356
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,LightGBM,False,13,0.005971098627115172,0.003581607272057124,0.9880991633005912
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,LightGBM,False,13,0.004994765677834944,0.00327445579629047,0.991293240473128
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,LightGBM,False,13,0.0034221325726521614,0.0017763472259574213,0.9959545162286892
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,LightGBM,False,13,0.005641409098599784,0.0033318702320821823,0.9887260153265
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,LightGBM,False,13,0.007504708479166556,0.005123908222739797,0.9792745819935953
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell51,CatBoost,False,13,0.0076664630860957435,0.0059943110734992896,0.9803818024067569
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell52,CatBoost,False,13,0.0034894182587643595,0.00281990898044866,0.995750553452409
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell53,CatBoost,False,13,0.004760305656400127,0.0033528049394594265,0.9921720781339254
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell54,CatBoost,False,13,0.0038843493566774485,0.0026180630346954764,0.9946551094386532
StructuredWindowAblation,only_medium_window,Only medium-window features are available.,Cell55,CatBoost,False,13,0.008603362086549748,0.00713657067522382,0.9727621986838342
StructuredWindowAblation,only_narrow_window,Only narrow-window features are available.,Cell51,Ridge,False,13,0.007361299805424017,0.006262462711396755,0.9819125219107885
