dataset,test_cell,deployment_model,expert_window,expert_model,expert_inner_rmse,expert_rank_score,expert_weight,expert_model_size_kb,n_features
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,ExtraTrees,0.0035422633273219433,0.004208204369339445,0.030085251091026402,16063.916015625,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,ExtraTrees,0.0036225393549347055,0.004303613606958619,0.029418275739014902,16075.71484375,18
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,RandomForest,0.003750111105097375,0.004358944007321988,0.029044854736658493,4452.599609375,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,XGBoost,0.0039087636571559035,0.004406218904935077,0.028733229407269748,605.693359375,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,XGBoost,0.004201888922287914,0.004736806460091025,0.02672790618195277,613.65234375,18
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,XGBoost,0.004358664560509455,0.004915980914549133,0.025753746934671473,636.5439453125,18
Dataset 3,Cell52,MAW-GME-full-50experts,full_27_36,ExtraTrees,0.004210202735280172,0.005001694439187056,0.025312408497096265,16057.6875,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,ElasticNet,0.004981923088147461,0.005099032579600168,0.02482920743846192,2.2392578125,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,XGBoost,0.004685459386420818,0.005282062450108562,0.023968846914214595,612.3330078125,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,ElasticNet,0.005486660501855076,0.005618379087463085,0.022534072307122746,2.3212890625,18
Dataset 3,Cell52,MAW-GME-full-50experts,narrow_33_345,ElasticNet,0.005626145232332436,0.0057584068598824575,0.021986109902614247,2.2392578125,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,HistGB,0.005525085083979659,0.0061745250234233285,0.020504408099745335,452.291015625,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,CatBoost,0.005767594089795394,0.006380663159359191,0.01984197948781277,202.625,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,HistGB,0.005727229064971193,0.00639981304204571,0.019782607286899775,455.94140625,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,Ridge,0.0063148188782339194,0.006460021062221376,0.01959823176189303,2.1572265625,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,LightGBM,0.006064791849394624,0.006807685457936765,0.01859736334104659,567.548828125,18
Dataset 3,Cell52,MAW-GME-full-50experts,paper_335_350,LightGBM,0.006092773413076267,0.00683941586744961,0.01851108388336886,562.0927734375,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,LightGBM,0.006140118252074434,0.006891387567370092,0.018371481939440312,568.7001953125,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,HistGB,0.006239537351707554,0.006972350090640082,0.018158153666848243,458.333984375,18
Dataset 3,Cell52,MAW-GME-full-50experts,very_narrow_335_340,Ridge,0.006998371693349611,0.007162881609601641,0.01767515032291318,2.2392578125,18
Dataset 3,Cell52,MAW-GME-full-50experts,medium_32_35,ElasticNet,0.0070070597125358805,0.007171191720670823,0.017654668056750658,2.2255859375,18
