window,model_name,inner_rmse,inner_mae,inner_valid_folds,inner_model_size_kb,rank_score,n_features,test_cell,dataset
full_27_36,SVR-RBF,0.014962000376573591,0.008024490795850731,4,17.435546875,0.015834069754078868,18,Cell53,Dataset 3
full_27_36,KNN,0.01663886297865469,0.010720675899359267,4,25.9072265625,0.017734497129569746,18,Cell53,Dataset 3
full_27_36,Ridge,0.01755600774477193,0.016208542618915835,4,2.1162109375,0.01795509717002558,18,Cell53,Dataset 3
paper_335_350,RandomForest,0.002841697637762374,0.0018931115513390398,4,3345.517578125,0.003302943558844453,18,Cell54,Dataset 3
paper_335_350,ExtraTrees,0.0028365073492068946,0.0019514068856065743,4,12083.490234375,0.003369752470022892,18,Cell54,Dataset 3
paper_335_350,XGBoost,0.003251494283638236,0.0021966316992358004,4,569.53125,0.003664210871471395,18,Cell54,Dataset 3
very_narrow_335_340,ExtraTrees,0.0030988553581885086,0.002094333589638866,4,12084.591796875,0.0036814258650217997,18,Cell54,Dataset 3
medium_32_35,RandomForest,0.003268453005324155,0.0022379876820520133,4,3343.078125,0.0037989194201668813,18,Cell54,Dataset 3
very_narrow_335_340,RandomForest,0.0033458298122404978,0.0021622260337305736,4,3345.845703125,0.003888909757452436,18,Cell54,Dataset 3
narrow_33_345,RandomForest,0.003367667650170888,0.0022667402179075763,4,3347.205078125,0.003914319565443181,18,Cell54,Dataset 3
narrow_33_345,XGBoost,0.003563815819609342,0.002373022674551202,4,575.75244140625,0.00401694880930517,18,Cell54,Dataset 3
narrow_33_345,ExtraTrees,0.003403745755101109,0.00237083023613381,4,12085.529296875,0.0040436395300374175,18,Cell54,Dataset 3
medium_32_35,XGBoost,0.0035877481284144848,0.0024178751293807556,4,575.405517578125,0.004043880895098572,18,Cell54,Dataset 3
medium_32_35,ExtraTrees,0.0034351343942944654,0.0023591248850918607,4,12083.4765625,0.004080917468025188,18,Cell54,Dataset 3
very_narrow_335_340,XGBoost,0.0036326191221384236,0.0024418881248202875,4,576.99853515625,0.004094657130892773,18,Cell54,Dataset 3
medium_32_35,ElasticNet,0.004893931558219435,0.004332054791718464,4,2.225830078125,0.005008566062173851,18,Cell54,Dataset 3
paper_335_350,ElasticNet,0.005614609048874031,0.0048753840229888695,4,2.2392578125,0.005746591016235938,18,Cell54,Dataset 3
medium_32_35,Ridge,0.005815300866352377,0.005207731695223431,4,2.1435546875,0.0059485124547721735,18,Cell54,Dataset 3
medium_32_35,SVR-RBF,0.005812516413331617,0.004176972333162456,4,14.1630859375,0.006128585236239544,18,Cell54,Dataset 3
narrow_33_345,SVR-RBF,0.006206732743206454,0.00409988817807465,4,14.8125,0.006549443793503033,18,Cell54,Dataset 3
very_narrow_335_340,CatBoost,0.005969918901990312,0.0044560211673650724,4,202.31640625,0.006604493033655335,18,Cell54,Dataset 3
paper_335_350,LightGBM,0.005889132241084544,0.0038669289840316985,4,457.68701171875,0.006610947642669307,18,Cell54,Dataset 3
narrow_33_345,ElasticNet,0.006668826906317556,0.005899144076511235,4,2.239501953125,0.0068256003033870215,18,Cell54,Dataset 3
paper_335_350,CatBoost,0.006176878957578268,0.004687429506457307,4,202.423828125,0.006833517217519561,18,Cell54,Dataset 3
paper_335_350,HistGB,0.006116127474721877,0.003971261622248668,4,355.064453125,0.006834786124084042,18,Cell54,Dataset 3
full_27_36,RandomForest,0.005894213179829836,0.004382854535236177,4,3345.7578125,0.006850932078425954,18,Cell54,Dataset 3
narrow_33_345,LightGBM,0.0062240743935802235,0.00394289526847519,4,455.652099609375,0.006986389294709975,18,Cell54,Dataset 3
medium_32_35,HistGB,0.006279727000498794,0.0038601749267604003,4,356.228515625,0.00701801888963145,18,Cell54,Dataset 3
full_27_36,ExtraTrees,0.005952724684614532,0.004411083360053229,4,12080.91796875,0.007071773258685402,18,Cell54,Dataset 3
narrow_33_345,HistGB,0.006411497710715119,0.004095288490979185,4,353.224609375,0.00716419871994895,18,Cell54,Dataset 3
medium_32_35,CatBoost,0.006599883868927658,0.005191799552637159,4,202.236328125,0.007301368297001674,18,Cell54,Dataset 3
full_27_36,XGBoost,0.006520263989051913,0.004779735149491347,4,587.03662109375,0.007351830972268473,18,Cell54,Dataset 3
paper_335_350,Ridge,0.007199295633229957,0.006481869740890061,4,2.1572265625,0.007364835369091504,18,Cell54,Dataset 3
